Ranked Venues - Harbor Freight Tools / Florida - Total - Oct 01, 2020 - Sep 30,2021,,,,,,
Rank,Name,Total Visits,lat,lng,Chain,Plotted,Percentile,State Rank
21,"Food City / 7608 Mountain Grove Dr, Knoxville, TN, United States",564804,35.90373489,-83.83772469,Food City,78,73%,21/78
22,"Food City / 2500 Jacksboro Pike, Ste 1, La Follette, TN, United States",553829,36.34669205,-84.15931603,Food City,78,71%,22/78
23,"Food City / 284 Morrell Rd, Knoxville, TN, United States",541787,35.92360736,-84.03213754,Food City,78,70%,23/78
24,"Food City / 1180 West Ave, Crossville, TN, United States",533115,35.95709298,-85.03807378,Food City,78,69%,24/78
25,"Food City / 2120 S Roan St Ste 100, Johnson City, TN, United States",529112,36.30166672,-82.33788486,Food City,78,67%,25/78
26,"Food City / 4510 Highway 58, Chattanooga, TN, United States",522632,35.08380536,-85.19758721,Food City,78,66%,26/78
27,"Food City / 1921 Highway 394, Blountville, TN, United States",522396,36.5251012,-82.31408711,Food City,78,65%,27/78
28,"Food City / 2339  Newport Hwy, Sevierville, TN, United States",516450,35.8821227,-83.46035856,Food City,78,64%,28/78
29,"Food City / 500 Forest Drive, Jonesborough, TN, United States",505709,36.3031103,-82.46087018,Food City,78,62%,29/78
30,"Food City / 5604 Hixson Pike, Hixson, TN, United States",493272,35.1449247,-85.22041512,Food City,78,61%,30/78
31,"Food City / 1667 Ooltewah Ringgold Rd, Ooltewah, TN",489281,34.99806157,-85.09676223,Food City,78,60%,31/78
32,"Food City / 441 Hicks Cir, Clinton, TN, United States",481632,36.09175876,-84.13967409,Food City,78,58%,32/78
33,"Food City / 180 Rutledge Pike, Blaine, TN, United States",480913,36.13471436,-83.71464789,Food City,78,57%,33/78
34,"Food City / 105 South Hill Street, Athens, TN, United States",473732,35.44009184,-84.59409826,Food City,78,56%,34/78
35,"Food City / 1477 Highway 72, Loudon, TN, United States",473460,35.71828295,-84.36842473,Food City,78,55%,35/78
