PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL
15_132,15,Miami,5,Miami - Overtown,Miami-Dade,Manhattan,,560 NW 7th Street,Miami,FL,33136,25.7802132,-80.2042654,3059920392,54,34305,0.69,C-,C,Completed,,,,1/1/60 0:00,FALSE,,N,N,N,N,,,,100,978,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=132
15_1329079,15,Miami,22,North Miami,Miami-Dade,Johnson & Wales,,1700 NE 133rd Street,North Miami,FL,33181,25.89786551,-80.16436227,,74,0,1.9,,C,Prospective,,,,,FALSE,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1329079
15_1329180,15,Miami,11,Miami - Liberty City,Miami-Dade,Zoar One,,9427 NW 27th Avenue,Miami,FL,33147,25.85989174,-80.24188346,,57,0,,,C,Prospective,,,,,FALSE,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1329180
15_1329184,15,Miami,23,North Miami Beach,Miami-Dade,19218 W Dixie Hwy,,19218 West Dixie Hwy,Miami,FL,33180,25.95359974,-80.14926726,,67,0,,,A-,Prospective,,,,,FALSE,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1329184
15_1329209,15,Miami,21,Miami Gardens,Miami-Dade,"Villages at Miami Gardens, The",,3400 NW 191st Street,Miami Gardens,FL,33056,25.94714,-80.258065,7865580258,50,63600,3.34,B,B-,Completed,,11/28/19 0:00,1/15/21 0:00,3/31/21 0:00,FALSE,,N,N,N,N,,,,,2506,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1329209
15_1329301,15,Miami,28,Kendall,Miami-Dade,Eureka Estates,,18200 SW 108th Avenue,Miami,FL,33157,25.599938,-80.367181,,56,0,2,,B-,Prospective,,,,,FALSE,,N,A,N,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1329301
15_1345633,15,Miami,8,Miami - Edgewater,Miami-Dade,710 Edge,,710 NE 29th Street,Miami,FL,33137,25.80416986,-80.18554347,,70,0,,,B+,Prospective,,,,,TRUE,"Includes 16,489 Square Feet of Retail",N,N,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1345633
15_1348842,15,Miami,31,Homestead,Miami-Dade,Quo Townhouses,,12891 SW 248th Street,Homestead,FL,33032,25.536901,-80.400151,,71,0,,,C+,Prospective,,,,,,,N,,N,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1348842
15_1357530,15,Miami,21,Miami Gardens,Miami-Dade,3311 NW 189th Street,,3311 NW 189th Street,Miami Gardens,FL,33056,25.946936,-80.256041,,73,0,,,B-,Prospective,,,,,,,N,,N,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1357530
15_1358370,15,Miami,11,Miami - Liberty City,Miami-Dade,Northwest 27th Avenue and Northwest 54th Street,,NW 27th Avenue & NW 54th Street,Brownsville,FL,33142,25.823473,-80.241349,,75,0,1.69,,C-,Prospective,,,,,TRUE,"Includes 29,693 Square Feet of Retail",N,,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1358370
