Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_nearby_Burlington,num_nearby_Kohl's,num_nearby_Lowe's,num_nearby_Ross_Dress_for_Less,num_nearby_The_Home_Depot,num_nearby_Walmart,num_nearby_HomeGoods,num_nearby_T.J._Maxx,num_nearby_Marshalls,tot_visits_nearby_Burlington,tot_visits_nearby_Kohl's,tot_visits_nearby_Lowe's,tot_visits_nearby_Ross_Dress_for_Less,tot_visits_nearby_The_Home_Depot,tot_visits_nearby_Walmart,tot_visits_nearby_HomeGoods,tot_visits_nearby_T.J._Maxx,tot_visits_nearby_Marshalls
53,Marshalls,FL,30.17570908,-81.62667292,341760,"30.17570908,-81.62667292",3,2,3,4,4,9,1,3,1,779063,833361,2025418,1286366,2686163,15539425,463562,932622,211309
54,Marshalls,FL,28.47550606,-81.28715209,339297,"28.47550606,-81.28715209",3,3,4,11,6,6,2,3,2,1138881,1248067,2385092,3676621,4645925,11212956,459521,1313408,628997
55,Marshalls,FL,25.62066372,-80.34234868,335509,"25.62066372,-80.34234868",2,1,1,8,6,4,1,3,2,679350,495150,653898,3449648,7453836,7953031,111883,2068534,1046549
56,Marshalls,FL,28.55145091,-80.84290999,335028,"28.55145091,-80.84290999",0,0,1,0,1,1,0,0,0,,,632447,,551331,2227966,,,
57,Marshalls,FL,26.44065508,-80.07277198,332075,"26.44065508,-80.07277198",2,1,1,5,5,4,2,3,2,644635,534774,693216,1558211,4980199,6203858,1025265,1021281,728172
58,Marshalls,FL,27.90785906,-82.50472481,331600,"27.90785906,-82.50472481",1,0,2,2,4,5,1,3,1,361344,,1366220,611306,3516343,7859663,277716,1297737,552525
59,Marshalls,FL,27.98832505,-82.1249478,330807,"27.98832505,-82.1249478",0,1,2,2,2,3,0,0,0,,555994,1552372,577353,1782594,6226243,,,
60,Marshalls,FL,25.98142858,-80.35797757,323604,"25.98142858,-80.35797757",6,1,5,13,8,10,2,4,3,2825174,512117,3537675,4684510,9091386,21663433,796970,1680457,1165178
61,Marshalls,FL,28.79847527,-81.3341345,320817,"28.79847527,-81.3341345",1,2,3,5,3,3,0,1,1,604898,765816,1748730,1481636,2374780,5573087,,673708,287427
62,Marshalls,FL,27.96626249,-82.72824974,315075,"27.96626249,-82.72824974",4,1,5,7,6,6,3,4,3,1058274,627180,3293012,1970812,5399693,11389933,1070536,1934989,810998
63,Marshalls,FL,26.01274602,-80.25153526,309341,"26.01274602,-80.25153526",8,3,4,18,9,12,4,7,5,2871545,1273048,2695278,6213625,10730207,24960918,1485509,2550028,1590481
64,Marshalls,FL,27.46365197,-82.63403533,305582,"27.46365197,-82.63403533",1,0,1,1,2,5,1,2,0,343628,,731929,312511,1971639,9619990,207024,495657,
65,Marshalls,FL,26.6160286,-80.14417633,302981,"26.6160286,-80.14417633",3,2,3,7,6,7,1,4,2,1152019,972024,1945726,2542954,6519772,12109534,339550,2025449,1180612
66,Marshalls,FL,28.66364034,-81.38252103,287427,"28.66364034,-81.38252103",2,3,5,12,8,6,2,4,5,901128,1333168,2767363,3141430,6302935,10426903,667451,1644936,1624140
67,Marshalls,FL,28.26592456,-81.3308053,285714,"28.26592456,-81.3308053",1,1,2,7,4,4,0,1,2,303897,451703,1112925,2198886,3055826,8035144,,440521,802098
68,Marshalls,FL,25.8314203,-80.25975734,283748,"25.8314203,-80.25975734",8,1,2,11,11,9,1,6,5,4017420,356795,1571774,4647011,14513188,21775406,301033,2446864,2018632
69,Marshalls,FL,27.83623061,-82.68780706,279016,"27.83623061,-82.68780706",3,1,4,5,6,6,3,4,3,856848,464864,2752926,1385021,5685602,11657791,1083240,1648909,631418
70,Marshalls,FL,30.48203772,-87.20826445,277451,"30.48203772,-87.20826445",1,1,3,3,4,5,0,2,0,282514,419942,2195738,611523,2307028,10529366,,1322990,
71,Marshalls,FL,30.31105405,-81.73429752,268583,"30.31105405,-81.73429752",1,1,1,1,4,5,1,2,0,244689,314851,771498,481675,2951517,9074303,249352,518376,
72,Marshalls,FL,28.19081911,-82.45722617,268041,"28.19081911,-82.45722617",2,1,3,7,2,6,3,2,1,496871,404724,2269326,1798711,1908643,10150456,995451,848689,435297
73,Marshalls,FL,26.23680797,-80.20107708,266804,"26.23680797,-80.20107708",5,3,5,12,10,12,4,4,7,2351191,1320574,3370449,4260261,9878238,22263257,1511366,2023309,2497779
74,Marshalls,FL,29.26168687,-81.02659535,264460,"29.26168687,-81.02659535",1,0,1,3,2,3,0,1,0,438345,,880936,868497,1258859,6577650,,394250,
75,Marshalls,FL,26.06015291,-81.69784683,242889,"26.06015291,-81.69784683",1,0,1,1,1,3,0,0,0,185495,,670522,259453,880495,4579478,,,
76,Marshalls,FL,28.33256231,-81.47381297,242170,"28.33256231,-81.47381297",3,1,2,14,4,6,1,4,3,840615,451703,1082197,4729702,2724133,17409438,225273,1465974,1202297
77,Marshalls,FL,28.54893327,-81.34961019,236513,"28.54893327,-81.34961019",4,4,7,17,9,9,4,6,5,1491919,1786366,4421557,5308003,6760466,17184636,1126972,2366167,1727506
78,Marshalls,FL,28.55435066,-81.47929418,235265,"28.55435066,-81.47929418",4,1,5,13,6,8,3,3,6,1461169,538299,2878149,3955313,4229558,15814794,760442,890546,2398041
79,Marshalls,FL,25.93840204,-80.2473497,233046,"25.93840204,-80.2473497",10,2,4,20,11,13,4,8,7,4099976,860866,2932483,7208488,13766883,28635291,1437997,3021867,2808949
80,Marshalls,FL,26.18834769,-80.20689326,223103,"26.18834769,-80.20689326",5,3,5,13,9,12,3,6,6,2381236,1320574,3314806,4463997,8692698,22812972,941632,2651197,2174101
81,Marshalls,FL,30.14840093,-81.75340135,211309,"30.14840093,-81.75340135",2,2,3,3,4,6,1,2,1,552741,720218,1786572,922476,2556674,11084788,249352,749816,341760
82,Marshalls,FL,27.78893025,-82.73017403,201749,"27.78893025,-82.73017403",2,1,3,3,5,5,3,3,2,536999,464864,2113924,789809,4739247,9779342,1083240,1315595,393610
83,Marshalls,FL,26.11916123,-80.17708116,188704,"26.11916123,-80.17708116",8,3,4,16,10,12,2,5,6,3319494,1162142,2360464,5102178,10229408,23194920,688539,2058719,2125973
84,Marshalls,FL,25.77398514,-80.32171357,175715,"25.77398514,-80.32171357",6,2,2,12,10,6,2,5,5,3232345,851945,1496295,5031730,12861683,15477546,412916,2234113,2377426
85,Marshalls,FL,28.65364973,-81.20987675,150855,"28.65364973,-81.20987675",1,2,4,6,4,4,1,3,0,282191,936137,2593605,1820667,3272718,8236089,349056,1475621,
86,Marshalls,FL,27.07493951,-82.42337358,127309,"27.07493951,-82.42337358",1,0,1,0,1,2,0,1,0,275897,,779499,,659925,3312328,,659108,
87,Marshalls,FL,27.89163011,-82.78264183,114594,"27.89163011,-82.78264183",3,2,5,6,5,5,4,5,3,856848,1092044,3487219,1683830,4491431,10664343,1560392,2274002,795840
1,Marshalls,AL,34.67480735,-86.5457253,579489,"34.67480735,-86.5457253",0,1,3,1,2,5,1,1,0,,245017,1893875,397660,1355459,7792728,200023,520098,
2,Marshalls,AL,30.37788523,-87.68632428,560818,"30.37788523,-87.68632428",0,0,1,1,1,2,0,1,0,,,756522,312637,566624,4628218,,458653,
3,Marshalls,AL,32.3596849,-86.15858661,459410,"32.3596849,-86.15858661",1,1,1,2,2,4,0,1,0,257538,305495,648951,659217,1304714,7071191,,510554,
4,Marshalls,AL,30.67761061,-88.12260762,418587,"30.67761061,-88.12260762",1,1,3,2,2,6,1,1,0,205209,456335,3027232,683429,1279676,13767155,319823,365909,
5,Marshalls,AL,33.36105771,-86.85386633,395458,"33.36105771,-86.85386633",1,2,4,3,3,6,1,3,0,196630,611689,3066755,1037805,2265752,11926085,396697,1515697,
6,Marshalls,AL,33.63910488,-86.62771501,330430,"33.63910488,-86.62771501",1,1,2,2,2,4,1,1,0,152953,271885,1192640,510599,1478677,7734283,266300,531727,
7,Marshalls,AL,34.75430438,-86.74775761,266024,"34.75430438,-86.74775761",0,1,2,2,2,5,1,1,0,,398543,1628317,687039,1501768,7736572,200023,485713,
