Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_nearby_Burlington,num_nearby_Kohl's,num_nearby_Lowe's,num_nearby_Ross_Dress_for_Less,num_nearby_The_Home_Depot,num_nearby_Walmart,num_nearby_HomeGoods,num_nearby_T.J._Maxx,num_nearby_Marshalls,tot_visits_nearby_Burlington,tot_visits_nearby_Kohl's,tot_visits_nearby_Lowe's,tot_visits_nearby_Ross_Dress_for_Less,tot_visits_nearby_The_Home_Depot,tot_visits_nearby_Walmart,tot_visits_nearby_HomeGoods,tot_visits_nearby_T.J._Maxx,tot_visits_nearby_Marshalls
51,HomeGoods,FL,26.26183053,-80.10120799,164402,"26.26183053,-80.10120799",3,2,4,10,8,8,2,3,6,1140688,908392,2904574,3365302,8110311,14354701,998419,1325753,2027665
52,HomeGoods,FL,25.64231842,-80.33253931,111883,"25.64231842,-80.33253931",3,1,1,10,8,5,0,4,4,1212974,495150,653898,4487245,9909262,11170975,,2426283,1557773
1,HomeGoods,AL,33.42006286,-86.68573381,403453,"33.42006286,-86.68573381",2,1,3,2,3,6,1,2,0,349583,304749,2011546,578749,2263822,11009789,396697,1098862,
2,HomeGoods,AL,33.39283881,-86.8078986,396697,"33.39283881,-86.8078986",1,2,4,1,4,4,1,2,1,196630,611689,2854329,313067,2912983,7668377,403453,1098862,395458
3,HomeGoods,AL,33.18501388,-87.52761229,393842,"33.18501388,-87.52761229",0,0,2,1,1,2,0,1,0,,,1590794,383410,936829,4689729,,585935,
4,HomeGoods,AL,31.22710584,-85.43081099,368202,"31.22710584,-85.43081099",1,1,2,1,1,2,0,1,0,288849,292021,1819663,436236,569065,4386442,,710596,
5,HomeGoods,AL,30.65240475,-88.11551895,319823,"30.65240475,-88.11551895",1,1,3,2,2,4,0,1,1,205209,456335,3027232,683429,1279676,9065206,,365909,418587
6,HomeGoods,AL,33.61003818,-86.62374802,266300,"33.61003818,-86.62374802",1,1,2,2,2,4,0,1,1,152953,271885,1192640,510599,1478677,7734283,,531727,330430
7,HomeGoods,AL,34.74181903,-86.66475598,200023,"34.74181903,-86.66475598",0,2,3,2,3,5,0,2,2,,643560,2213792,687039,2050580,7736572,,1005811,845513
1,T.J. Maxx,TN,35.86071326,-83.5683857,788124,"35.86071326,-83.5683857",0,0,1,1,1,1,1,0,1,,,757014,218319,594799,5083217,321679,,482572
2,T.J. Maxx,TN,36.16725845,-86.50742595,749091,"36.16725845,-86.50742595",0,1,2,2,1,2,0,0,1,,357492,1289275,501805,577250,3323579,,,357338
