OBJECTID,Name and Size,Total_Visits,Travel Time Start (Minutes),,Travel Time End (Minutes),Facility ID,Facility: Name,Facility: Rank,Facility: Store_ID,Facility: lat,Facility: lng,Facility: State,Facility: Plotted,Facility: Percentile,Facility: State_Rank,Facility: Breaks,Facility: AdditionalTime,Facility: AdditionalDistance,Area (Square Miles),Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2022 Total Population,2022 Population Density,2022 Median Household Income,2022 Median Net Worth,2022 Median Disposable Income,2022 Median Age,2022 Total Housing Units,2022 Median Home Value,2022 Owner Occupied HUs,2022 Renter Occupied HUs,2020 Median Year Structure Built: HUs (ACS 5-Yr),2022 Pop Age 25+: Bachelor's Degree,2022 Pop Age 25+: Grad/Professional Degree,2022 Apparel/Accessory Sales ($000) (SIC),2022 Furniture/Home Furnish Sales ($000) (SIC),2022 Home Improvement Sales ($000) (SIC),2022 Men`s Apparel,2022 Women`s Apparel,2022 Bought Clothing in Dept Store/6 Mo,2022 Bought Clothing in Discount Store/6 Mo,2022 Bought Clothing Online/6 Mo,2022 HH Purchased Low Ticket HH Furnishing/12 Mo,2022 Tapestry Adult Pop Base,2022 Discount Store Clothes Just as Good: 4-Agr Cmpl,2022 Total Daytime Population,2022 Daytime Pop Density,2022 Pop Age 15+: Married,2022 Pop Age 15+: Divorced,2022 Pop Age 15+: Never Married,2022 Black Population,2022 White Population,2022 Hispanic Population,2022 Total Crime Index,2022 Personal Crime Index,2022 Property Crime Index
268,T.J. Maxx  : 0 - 10,358812,0,,10,268,T.J. Maxx ,55,377,25.93157044,-80.13307806,FL,88,38%,55/88,,0,0,14.00891743,3,US,268,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,113830,8125.6,60001,81364,52264,41.5,64640,377671,23453,23070,1976,18671,12528,167509,106454,212870,21168330,36829961,32906,12614,30835,10008,92256,26964,125185,8936.1,44110,11483,33427,24537,43789,47871,140,124,143
182,Marshalls  : 0 - 10,233046,0,,10,182,Marshalls ,79,1386,25.93840204,-80.2473497,FL,87,9%,79/87,,0,0,33.98809038,16,US,182,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,190261,5597.9,50399,61197,42485,36.3,62087,273024,33975,26076,1970,13993,6459,103453,212795,381959,17959470,32213094,53307,18677,41047,11416,145266,48010,177525,5223.2,55010,17191,72212,100399,22415,80738,141,178,134
242,T.J. Maxx  : 0 - 10,437395,0,,10,242,T.J. Maxx ,29,1037,25.94449895,-80.16804489,FL,88,67%,29/88,,0,0,20.72020205,10,US,242,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,157957,7623.4,54190,67557,46954,38.6,66073,304071,29467,28033,1971,20281,10884,368804,219046,285157,22191848,38768356,44431,16203,39020,12025,123928,37486,163388,7885.5,56199,13651,52119,63034,40997,57671,145,147,144
163,Marshalls  : 0 - 10,323604,0,,10,163,Marshalls ,60,207,25.98142858,-80.35797757,FL,87,31%,60/87,,0,0,30.62176587,30,US,163,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,132606,4330.5,93022,258083,77360,40,47879,392817,34246,11472,1997,22169,15624,101412,59154,135461,24983752,43576343,40497,17013,35964,10064,103667,30712,111148,3629.7,57463,9947,36117,26328,33937,72570,66,43,69
71,HomeGoods  : 0 - 10,343936,0,,10,71,HomeGoods ,22,687,25.98144866,-80.35700351,FL,52,58%,22/52,,0,0,33.25952854,4,US,71,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,141913,4266.9,93534,255432,77710,39.7,51149,394600,36216,12641,1996,23817,16526,102155,61272,136834,26740629,46679717,43304,18124,38457,10742,110731,32853,118465,3561.9,61621,10552,38581,28371,36533,77427,66,44,69
254,T.J. Maxx  : 0 - 10,417530,0,,10,254,T.J. Maxx ,41,37,26.00591221,-80.29370672,FL,88,53%,41/88,,0,0,32.98537381,22,US,254,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,183492,5562.9,69471,126321,57837,39.7,72925,314638,42728,26154,1990,25311,15419,247546,137393,173057,29003942,50514736,55388,22572,46066,14434,146459,44831,154495,4683.8,67974,17870,58466,49976,50266,86552,72,56,75
48,HomeGoods  : 0 - 10,453034,0,,10,48,HomeGoods ,9,194,26.00951958,-80.29762476,FL,52,83%,Sep-52,,0,0,37.68211168,14,US,48,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,196576,5216.7,72385,144960,59657,39.9,76864,325676,46581,26248,1990,28382,17206,249330,148413,211379,32103441,56090771,59411,24207,49747,15386,157012,47732,167514,4445.5,74123,18850,61688,49277,58634,91447,74,54,77
284,T.J. Maxx  : 0 - 10,320118,0,,10,284,T.J. Maxx ,71,1438,26.00974618,-80.35720031,FL,88,19%,71/88,,0,0,38.51854568,19,US,284,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,151691,3938.1,96646,283957,79804,40.6,54695,394460,40347,12604,1995,27268,18474,237329,111209,277096,29599981,52054518,46928,19475,41715,11633,119817,35139,132077,3428.9,68090,11347,40063,27982,43946,79853,64,35,69
166,Marshalls  : 0 - 10,309341,0,,10,166,Marshalls ,63,399,26.01274602,-80.25153526,FL,87,28%,63/87,,0,0,33.44842449,0,US,166,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,204042,6100.2,66549,123913,56345,37.6,73952,303116,44263,26237,1978,23223,12857,56582,95665,304347,28251008,49760634,59354,22887,49301,14398,160106,50212,162523,4858.9,70606,20980,67604,64327,53411,89983,96,79,99
73,HomeGoods  : 0 - 10,339994,0,,10,73,HomeGoods ,24,202,26.04303387,-80.159139,FL,52,54%,24/52,,0,0,23.90705835,6,US,73,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,98145,4105.3,58317,72464,51004,42.4,46742,334776,19406,21326,1973,15250,8852,74198,219792,334270,16055911,28453903,29007,11776,25459,8917,79444,24575,120583,5043.8,35663,12237,29193,19931,46447,33919,138,118,142
49,Marshalls  : 0 - 10,363170,0,,10,49,Marshalls ,45,541,26.04343239,-80.15896058,FL,87,48%,45/87,,0,0,40.99637318,15,US,49,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,165612,4039.7,58716,75657,51253,42.3,77695,324555,33519,34349,1971,24039,14182,97498,334187,473520,26580242,47112672,48990,19711,42672,14863,134072,41517,193382,4717.1,59844,20090,50407,36392,73070,59798,146,124,149
247,T.J. Maxx  : 0 - 10,432420,0,,10,247,T.J. Maxx ,34,1547,26.05054556,-80.1584286,FL,88,61%,34/88,,0,0,47.14184861,15,US,247,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,195737,4152.1,58258,73084,50957,42.1,92189,327312,39211,40865,1970,28250,16495,114754,360051,518861,31405883,55575398,57920,23238,50842,17487,158485,48917,229582,4870,69345,23430,61418,44292,84952,70484,149,127,153
178,Marshalls  : 0 - 10,242889,0,,10,178,Marshalls ,75,1315,26.06015291,-81.69784683,FL,87,14%,75/87,,0,0,31.43656361,12,US,178,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,41877,1332.1,72955,257001,60390,54.1,29939,363351,14006,4589,2000,6900,4112,5883,8919,68813,8573667,16370335,12099,5529,10151,4024,34940,10060,35337,1124.1,20527,3781,8332,4183,27783,10747,97,84,99
259,T.J. Maxx  : 0 - 10,404350,0,,10,259,T.J. Maxx ,46,269,26.09446672,-80.24687382,FL,88,48%,46/88,,0,0,36.58874917,27,US,259,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,135831,3712.4,77434,134860,63448,39.4,56822,356971,31484,21306,1983,25027,14466,131799,162653,314624,25410958,44404518,41060,16696,36024,11414,109690,32764,137389,3755,51296,15447,41565,16828,65134,52191,120,70,128
299,T.J. Maxx  : 0 - 10,179403,0,,10,299,T.J. Maxx ,86,1340,26.09717542,-80.12949882,FL,88,2%,86/88,,0,0,19.36845959,1,US,299,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,80281,4145,77171,70987,63494,42,49977,477147,16050,24506,1975,18237,12113,53549,107122,185790,23766850,40891898,24724,9779,26341,8915,68960,20527,146840,7581.4,27095,10160,30030,15210,46280,17243,242,160,256
186,Marshalls  : 0 - 10,188704,0,,10,186,Marshalls ,83,1455,26.11916123,-80.17708116,FL,87,5%,83/87,,0,0,46.61889203,20,US,186,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,227543,4880.9,58662,60767,51275,38.3,100500,312456,41915,48008,1971,30659,17825,154993,305004,551355,37619534,66622100,66131,25302,57843,19066,180586,57489,273155,5859.3,70566,23998,83364,108163,69680,47331,207,204,208
70,HomeGoods  : 0 - 10,348545,0,,10,70,HomeGoods ,21,358,26.1436978,-80.31846758,FL,52,60%,21/52,,0,0,36.94101304,3,US,70,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,148627,4023.4,79339,175099,65298,42.1,62360,310504,39195,18821,1986,26655,15019,223781,246829,320115,27371398,48335140,45132,18530,38998,12519,120274,35853,141969,3843.1,61628,16752,38444,26675,63467,56800,89,48,96
134,Marshalls  : 0 - 10,548214,0,,10,134,Marshalls ,12,486,26.14945018,-80.32563391,FL,87,86%,Dec-87,,0,0,30.79988313,1,US,134,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,121250,3936.7,82524,191684,68275,41.6,49040,321466,32214,13647,1987,22061,12249,197707,240267,198486,22103747,39235088,36768,14942,31827,10018,97404,28960,112818,3663,51122,13191,30901,19886,52225,48241,83,43,89
6,T.J. Maxx  : 0 - 10,697556,0,,10,6,T.J. Maxx ,6,98,26.15151895,-80.32182243,FL,88,93%,Jun-88,,0,0,25.52807303,5,US,6,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,104460,4092,80802,181230,66546,41.3,42145,309002,27545,11797,1987,18471,9772,195179,231565,216547,18380540,32600513,31726,12777,27218,8542,83789,25104,99844,3911.2,43682,11397,26904,18166,43525,42034,86,45,93
17,Marshalls  : 0 - 10,406080,0,,10,17,Marshalls ,34,176,26.17261584,-81.80103344,FL,87,61%,34/87,,0,0,26.56512537,16,US,17,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,47459,1786.5,95592,416196,79848,61,35892,604486,16157,6575,1983,11306,8525,282803,265792,250631,16256011,28199756,14881,6317,13392,4877,41848,11745,95841,3607.8,23966,5504,8862,1448,38332,7323,87,49,93
183,Marshalls  : 0 - 10,223103,0,,10,183,Marshalls ,80,1163,26.18834769,-80.20689326,FL,87,8%,80/87,,0,0,53.07069696,17,US,183,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,327684,6174.5,52779,76777,45361,39.7,138002,242996,69856,53833,1976,35963,18725,129289,389802,593470,40860537,72359687,94140,36901,76693,25572,258216,81707,302843,5706.4,109958,36563,105553,178729,69985,71771,127,142,125
33,HomeGoods  : 0 - 10,485955,0,,10,33,HomeGoods ,4,136,26.19937225,-81.80254251,FL,52,92%,Apr-52,,0,0,31.64493103,32,US,33,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,54763,1730.6,101993,472940,84940,61.5,42205,597284,19394,7592,1987,14140,10901,264141,350591,294127,19789628,34411291,17399,7278,16124,5777,48670,13448,116331,3676.1,28928,6041,9645,1141,45580,7135,85,51,91
56,T.J. Maxx  : 0 - 10,474058,0,,10,56,T.J. Maxx ,22,84,26.20787927,-81.76659535,FL,88,75%,22/88,,0,0,29.80756474,22,US,56,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,47398,1590.1,96760,331692,80345,56.3,30797,460461,15186,7399,1992,11892,7761,189353,293955,317458,15180396,26699684,14883,5930,14287,4829,41165,11462,83837,2812.6,24569,4998,8635,1027,38293,7193,89,61,94
