OBJECTID,Name and Size,Total_Visits,Travel Time Start (Minutes),Travel Time End (Minutes),Facility ID,Facility: Name,Facility: Rank,Facility: Store_ID,Facility: lat,Facility: lng,Facility: State,Facility: Plotted,Facility: Percentile,Facility: State_Rank,Facility: Breaks,Facility: AdditionalTime,Facility: AdditionalDistance,Area (Square Miles),Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2022 Tapestry Adult Pop Base,2022 Pop 18+ in Tapestry Seg 1A,2022 Pop 18+ in Tapestry Seg 1B,2022 Pop 18+ in Tapestry Seg 1C,2022 Pop 18+ in Tapestry Seg 1D,2022 Pop 18+ in Tapestry Seg 1E,2022 Pop 18+ in Tapestry Seg 2A,2022 Pop 18+ in Tapestry Seg 2B,2022 Pop 18+ in Tapestry Seg 2C,2022 Pop 18+ in Tapestry Seg 2D,2022 Pop 18+ in Tapestry Seg 3A,2022 Pop 18+ in Tapestry Seg 3B,2022 Pop 18+ in Tapestry Seg 3C,2022 Pop 18+ in Tapestry Seg 4A,2022 Pop 18+ in Tapestry Seg 4B,2022 Pop 18+ in Tapestry Seg 4C,2022 Pop 18+ in Tapestry Seg 5A,2022 Pop 18+ in Tapestry Seg 5B,2022 Pop 18+ in Tapestry Seg 5C,2022 Pop 18+ in Tapestry Seg 5D,2022 Pop 18+ in Tapestry Seg 5E,2022 Pop 18+ in Tapestry Seg 6A,2022 Pop 18+ in Tapestry Seg 6B,2022 Pop 18+ in Tapestry Seg 6C,2022 Pop 18+ in Tapestry Seg 6D,2022 Pop 18+ in Tapestry Seg 6E,2022 Pop 18+ in Tapestry Seg 6F,2022 Pop 18+ in Tapestry Seg 7A,2022 Pop 18+ in Tapestry Seg 7B,2022 Pop 18+ in Tapestry Seg 7C,2022 Pop 18+ in Tapestry Seg 7D,2022 Pop 18+ in Tapestry Seg 7E,2022 Pop 18+ in Tapestry Seg 7F,2022 Pop 18+ in Tapestry Seg 8A,2022 Pop 18+ in Tapestry Seg 8B,2022 Pop 18+ in Tapestry Seg 8C,2022 Pop 18+ in Tapestry Seg 8D,2022 Pop 18+ in Tapestry Seg 8E,2022 Pop 18+ in Tapestry Seg 8F,2022 Pop 18+ in Tapestry Seg 8G,2022 Pop 18+ in Tapestry Seg 9A,2022 Pop 18+ in Tapestry Seg 9B,2022 Pop 18+ in Tapestry Seg 9C,2022 Pop 18+ in Tapestry Seg 9D,2022 Pop 18+ in Tapestry Seg 9E,2022 Pop 18+ in Tapestry Seg 9F,2022 Pop 18+ in Tapestry Seg 10A,2022 Pop 18+ in Tapestry Seg 10B,2022 Pop 18+ in Tapestry Seg 10C,2022 Pop 18+ in Tapestry Seg 10D,2022 Pop 18+ in Tapestry Seg 10E,2022 Pop 18+ in Tapestry Seg 11A,2022 Pop 18+ in Tapestry Seg 11B,2022 Pop 18+ in Tapestry Seg 11C,2022 Pop 18+ in Tapestry Seg 11D,2022 Pop 18+ in Tapestry Seg 11E,2022 Pop 18+ in Tapestry Seg 12A,2022 Pop 18+ in Tapestry Seg 12B,2022 Pop 18+ in Tapestry Seg 12C,2022 Pop 18+ in Tapestry Seg 12D,2022 Pop 18+ in Tapestry Seg 13A,2022 Pop 18+ in Tapestry Seg 13B,2022 Pop 18+ in Tapestry Seg 13C,2022 Pop 18+ in Tapestry Seg 13D,2022 Pop 18+ in Tapestry Seg 13E,2022 Pop 18+ in Tapestry Seg 14A,2022 Pop 18+ in Tapestry Seg 14B,2022 Pop 18+ in Tapestry Seg 14C,2022 Pop 18+ in Tapestry Seg 15
268,T.J. Maxx  : 0 - 10,358812,0,10,268,T.J. Maxx ,55,377,25.93157044,-80.13307806,FL,88,38%,55/88,,0,0,14.00891743,3,US,268,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,92256,2806,0,0,990,0,2454,641,0,3732,0,0,0,0,0,0,0,920,0,0,487,0,0,0,0,0,0,0,5346,6351,0,0,0,2948,7271,1951,0,1416,2980,0,3106,6978,1599,900,7141,0,1108,0,0,0,0,7773,4273,8067,2003,0,4590,0,0,0,1596,0,0,1345,1485,0,0,0,0
182,Marshalls  : 0 - 10,233046,0,10,182,Marshalls ,79,1386,25.93840204,-80.2473497,FL,87,9%,79/87,,0,0,33.98809038,16,US,182,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,145266,0,0,0,0,0,0,2563,0,0,0,0,0,1885,4604,0,0,0,0,0,0,0,0,0,0,0,0,433,7463,18405,0,0,18531,954,0,498,0,33,0,0,0,0,0,0,622,1158,0,0,0,0,0,12242,0,11345,0,5076,53048,0,0,4104,1292,0,0,1011,0,0,0,0,0
242,T.J. Maxx  : 0 - 10,437395,0,10,242,T.J. Maxx ,29,1037,25.94449895,-80.16804489,FL,88,67%,29/88,,0,0,20.72020205,10,US,242,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,123928,318,0,0,4501,0,0,6585,0,4321,0,0,0,0,0,0,0,920,0,0,311,0,0,0,0,0,0,206,9629,9649,0,0,1768,4217,3929,1951,0,1492,1586,0,1523,1248,1599,923,5485,992,0,0,0,0,0,17633,3101,12764,1212,1997,18605,0,0,237,2508,0,0,1236,1485,0,0,0,0
163,Marshalls  : 0 - 10,323604,0,10,163,Marshalls ,60,207,25.98142858,-80.35797757,FL,87,31%,60/87,,0,0,30.62176587,30,US,163,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,103667,0,5371,17811,4379,0,0,1510,0,0,0,0,0,32141,124,0,0,0,0,0,0,0,0,0,0,0,0,23436,1439,2295,0,0,1,0,0,1243,0,0,0,0,0,0,12722,0,0,0,0,0,0,0,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,HomeGoods  : 0 - 10,343936,0,10,71,HomeGoods ,22,687,25.98144866,-80.35700351,FL,52,58%,22/52,,0,0,33.25952854,4,US,71,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,110731,0,6307,17846,4379,0,0,1917,0,0,0,0,0,34311,124,0,0,0,0,0,0,0,0,0,0,0,0,24475,1472,2334,0,0,1,0,0,3208,0,0,0,0,0,0,12722,0,0,0,0,0,0,0,0,0,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,T.J. Maxx  : 0 - 10,417530,0,10,254,T.J. Maxx ,41,37,26.00591221,-80.29370672,FL,88,53%,41/88,,0,0,32.98537381,22,US,254,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,146459,0,5917,5049,8735,0,0,3527,0,0,0,0,0,5327,20998,0,0,0,0,0,0,0,0,0,0,0,0,17484,4911,24285,0,0,2595,0,0,15271,0,0,0,0,0,0,12722,1754,6906,2026,0,0,0,0,0,1523,1706,5267,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0
48,HomeGoods  : 0 - 10,453034,0,10,48,HomeGoods ,9,194,26.00951958,-80.29762476,FL,52,83%,Sep-52,,0,0,37.68211168,14,US,48,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,157012,0,6087,5218,13602,0,0,4344,0,0,0,0,0,7729,22326,0,0,0,0,0,0,0,0,0,0,0,0,17224,4848,25512,0,0,2358,0,0,15271,0,0,0,0,0,0,12722,1754,6979,2026,0,0,0,0,0,1523,1706,5421,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0
284,T.J. Maxx  : 0 - 10,320118,0,10,284,T.J. Maxx ,71,1438,26.00974618,-80.35720031,FL,88,19%,71/88,,0,0,38.51854568,19,US,284,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,119817,0,10425,13472,7956,0,0,1737,0,0,0,0,0,41282,957,0,0,0,0,0,0,0,0,0,0,0,0,16334,0,1832,0,0,0,0,0,8764,0,0,0,0,0,0,12722,0,2630,0,0,0,0,0,0,0,1706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Marshalls  : 0 - 10,309341,0,10,166,Marshalls ,63,399,26.01274602,-80.25153526,FL,87,28%,63/87,,0,0,33.44842449,0,US,166,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,160106,0,1179,0,3419,0,0,7638,0,0,0,0,0,4339,20462,0,0,0,350,697,0,0,0,0,0,0,0,1041,13058,53215,0,0,1900,0,2402,13844,0,2529,0,0,0,45,0,2133,7720,2026,0,0,0,934,0,2018,134,12448,60,0,4969,0,0,0,1546,0,0,0,0,0,0,0,0
73,HomeGoods  : 0 - 10,339994,0,10,73,HomeGoods ,24,202,26.04303387,-80.159139,FL,52,54%,24/52,,0,0,23.90705835,6,US,73,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.191,2.576,1,79444,0,0,0,0,1881,1151,3093,0,1838,0,1059,0,1556,1769,0,849,3004,126,254,1263,0,0,876,0,0,0,0,12,563,0,0,0,1266,4275,4496,0,9083,7247,0,0,2251,0,2508,1646,0,0,0,0,1142,0,0,2430,4032,10272,3610,3184,0,0,1272,0,0,1436,0,0,0,0,0,0
