Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_stores_Aldi,num_stores_Publix,num_stores_The_Fresh_Market,num_stores_Total_Wine_&_More,num_stores_Trader_Joe's,num_stores_Walmart_Neighborhood_Market,num_stores_Whole_Foods_Market,num_stores_Winn-Dixie,num_stores_ABC_Fine_Wine_&_Spirits,num_stores_Sprouts_Farmers_Market,total_visit_Aldi,total_visit_Publix,total_visit_The_Fresh_Market,total_visit_Total_Wine_&_More,total_visit_Trader_Joe's,total_visit_Walmart_Neighborhood_Market,total_visit_Whole_Foods_Market,total_visit_Winn-Dixie,total_visit_ABC_Fine_Wine_&_Spirits,total_visit_Sprouts_Farmers_Market,num_grocery_stores,total_grocery_visit,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo,Completed,Planned,Prospective,Under_Construction,num_nearby_Burlington,num_nearby_Kohl's,num_nearby_Lowe's,num_nearby_Ross_Dress_for_Less,num_nearby_The_Home_Depot,num_nearby_Walmart,num_nearby_HomeGoods,num_nearby_T.J._Maxx,num_nearby_Marshalls,tot_visits_nearby_Burlington,tot_visits_nearby_Kohl's,tot_visits_nearby_Lowe's,tot_visits_nearby_Ross_Dress_for_Less,tot_visits_nearby_The_Home_Depot,tot_visits_nearby_Walmart,tot_visits_nearby_HomeGoods,tot_visits_nearby_T.J._Maxx,tot_visits_nearby_Marshalls,num_starbucks,has_starbucks,num_malls,tot_stores,2022 Total Population,2022 Population Density,2022 Median Household Income,2022 Median Net Worth,2022 Median Disposable Income,2022 Median Age,2022 Total Housing Units,2022 Median Home Value,2022 Owner Occupied HUs,2022 Renter Occupied HUs,2020 Median Year Structure Built: HUs (ACS 5-Yr),2022 Pop Age 25+: Bachelor's Degree,2022 Pop Age 25+: Grad/Professional Degree,2022 Apparel/Accessory Sales ($000) (SIC),2022 Furniture/Home Furnish Sales ($000) (SIC),2022 Home Improvement Sales ($000) (SIC),2022 Men`s Apparel,2022 Women`s Apparel,2022 Bought Clothing in Dept Store/6 Mo,2022 Bought Clothing in Discount Store/6 Mo,2022 Bought Clothing Online/6 Mo,2022 HH Purchased Low Ticket HH Furnishing/12 Mo,2022 Tapestry Adult Pop Base_x,2022 Discount Store Clothes Just as Good: 4-Agr Cmpl,2022 Total Daytime Population,2022 Daytime Pop Density,2022 Pop Age 15+: Married,2022 Pop Age 15+: Divorced,2022 Pop Age 15+: Never Married,2022 Black Population,2022 White Population,2022 Hispanic Population,2022 Total Crime Index,2022 Personal Crime Index,2022 Property Crime Index,2022 Tapestry Adult Pop Base_y,2022 Pop 18+ in Tapestry Seg 1A,2022 Pop 18+ in Tapestry Seg 1B,2022 Pop 18+ in Tapestry Seg 1C,2022 Pop 18+ in Tapestry Seg 1D,2022 Pop 18+ in Tapestry Seg 1E,2022 Pop 18+ in Tapestry Seg 2A,2022 Pop 18+ in Tapestry Seg 2B,2022 Pop 18+ in Tapestry Seg 2C,2022 Pop 18+ in Tapestry Seg 2D,2022 Pop 18+ in Tapestry Seg 3A,2022 Pop 18+ in Tapestry Seg 3B,2022 Pop 18+ in Tapestry Seg 3C,2022 Pop 18+ in Tapestry Seg 4A,2022 Pop 18+ in Tapestry Seg 4B,2022 Pop 18+ in Tapestry Seg 4C,2022 Pop 18+ in Tapestry Seg 5A,2022 Pop 18+ in Tapestry Seg 5B,2022 Pop 18+ in Tapestry Seg 5C,2022 Pop 18+ in Tapestry Seg 5D,2022 Pop 18+ in Tapestry Seg 5E,2022 Pop 18+ in Tapestry Seg 6A,2022 Pop 18+ in Tapestry Seg 6B,2022 Pop 18+ in Tapestry Seg 6C,2022 Pop 18+ in Tapestry Seg 6D,2022 Pop 18+ in Tapestry Seg 6E,2022 Pop 18+ in Tapestry Seg 6F,2022 Pop 18+ in Tapestry Seg 7A,2022 Pop 18+ in Tapestry Seg 7B,2022 Pop 18+ in Tapestry Seg 7C,2022 Pop 18+ in Tapestry Seg 7D,2022 Pop 18+ in Tapestry Seg 7E,2022 Pop 18+ in Tapestry Seg 7F,2022 Pop 18+ in Tapestry Seg 8A,2022 Pop 18+ in Tapestry Seg 8B,2022 Pop 18+ in Tapestry Seg 8C,2022 Pop 18+ in Tapestry Seg 8D,2022 Pop 18+ in Tapestry Seg 8E,2022 Pop 18+ in Tapestry Seg 8F,2022 Pop 18+ in Tapestry Seg 8G,2022 Pop 18+ in Tapestry Seg 9A,2022 Pop 18+ in Tapestry Seg 9B,2022 Pop 18+ in Tapestry Seg 9C,2022 Pop 18+ in Tapestry Seg 9D,2022 Pop 18+ in Tapestry Seg 9E,2022 Pop 18+ in Tapestry Seg 9F,2022 Pop 18+ in Tapestry Seg 10A,2022 Pop 18+ in Tapestry Seg 10B,2022 Pop 18+ in Tapestry Seg 10C,2022 Pop 18+ in Tapestry Seg 10D,2022 Pop 18+ in Tapestry Seg 10E,2022 Pop 18+ in Tapestry Seg 11A,2022 Pop 18+ in Tapestry Seg 11B,2022 Pop 18+ in Tapestry Seg 11C,2022 Pop 18+ in Tapestry Seg 11D,2022 Pop 18+ in Tapestry Seg 11E,2022 Pop 18+ in Tapestry Seg 12A,2022 Pop 18+ in Tapestry Seg 12B,2022 Pop 18+ in Tapestry Seg 12C,2022 Pop 18+ in Tapestry Seg 12D,2022 Pop 18+ in Tapestry Seg 13A,2022 Pop 18+ in Tapestry Seg 13B,2022 Pop 18+ in Tapestry Seg 13C,2022 Pop 18+ in Tapestry Seg 13D,2022 Pop 18+ in Tapestry Seg 13E,2022 Pop 18+ in Tapestry Seg 14A,2022 Pop 18+ in Tapestry Seg 14B,2022 Pop 18+ in Tapestry Seg 14C,2022 Pop 18+ in Tapestry Seg 15
60,T.J. Maxx,FL,26.24607539,-80.25473906,344990,"26.24607539,-80.25473906",1,7,1,1,1,3,1,0,0,0,278111,5763818,357329,347755,388874,1849932,577661,0,0,0,15,9563480,8,26,13,0,1232.767852435462,988.4257371888966,973.2115578563343,,2228.0,2029.0869565217392,1714.6666666666667,,0.0,2.0,0.0,2.0,0.0,0.0,3.0,41.0,1.0,3.0,2.0,6,3,6,12,9,10,4,3,8,2710193,1320574,3975641,4260261,8879499,18751631,1511366,1678319,2764583,1,1,3,57.0,252638,6157.0,65554,141439,55800,41.3,98800,292596,60067,33242,1981,37860,19375,159750,181928,212648,38641636,68309972,75541,29848,63161,19713,203044,61265,199097,4852.1,99874,28192,69427,81462,87823,75791,71,59,73,203044,0,5359,0,13048,0,0,1451,0,3437,0,0,0,2497,36584,1950,1459,4078,0,2744,6157,0,0,0,0,0,0,363,1872,49958,54,0,0,4480,0,3913,0,4236,9037,0,835,4664,11211,0,16736,0,0,0,0,0,0,0,0,12273,0,0,0,1791,0,0,32,0,2827,0,0,0,0,0,0
61,T.J. Maxx,FL,26.62472624,-81.94223871,342542,"26.62472624,-81.94223871",1,4,0,0,0,0,0,0,1,0,244614,3406872,0,0,0,0,0,0,98804,0,6,3750290,0,1,10,0,,994.9953917050691,774.3717128642502,,,1453.0,1144.0,,0.0,3.0,0.0,2.0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,2,2,4,3,4,5,2,2,1,725143,1050241,3031260,1091087,4470097,9493122,785083,701488,393505,0,0,2,38.0,110773,2641.7,65075,189505,55214,47.4,52680,270741,33826,11688,1988,14059,6140,19751,109962,263992,17258662,32241249,32532,14227,28165,9797,91547,27811,108481,2587.1,47551,13952,25480,5566,76674,28522,60,40,64,91547,0,0,0,0,217,0,0,0,0,0,0,0,0,0,6383,2088,448,0,15363,15739,0,3224,10418,0,0,5653,527,0,8564,0,0,0,0,0,0,0,0,2569,0,4914,0,1249,5741,2048,0,0,0,0,47,0,0,59,1856,1365,1778,0,0,1295,0,0,0,0,0,0,0,0,0,0
62,T.J. Maxx,FL,27.78777098,-82.72691369,339013,"27.78777098,-82.72691369",1,7,0,1,0,1,0,3,2,0,164925,5998984,0,372268,0,495820,0,808450,87545,0,15,7927992,0,6,13,12,,725.3096113314783,913.5602121359975,772.2276555914679,,1663.25,1454.1666666666667,1199.0,0.0,8.0,0.0,6.0,1.0,0.0,0.0,27.0,1.0,3.0,0.0,2,1,3,3,5,5,3,2,3,536999,464864,2113924,789809,4739247,9779342,1083240,976582,595359,2,1,2,36.0,139108,4155.3,61524,162302,52991,48.6,71044,248653,45465,18056,1965,22122,10015,113537,141711,415959,23886976,44494805,42033,18173,36431,13386,116475,35730,127533,3809.5,51943,19862,38461,13771,99018,15556,121,101,124,116475,0,0,0,0,2657,0,0,0,992,0,0,0,0,0,0,2220,1767,4605,37463,7601,0,0,0,0,0,3064,0,0,482,0,0,0,0,3446,0,0,5527,2381,1090,1530,1968,5038,10882,3213,905,0,0,0,0,0,0,0,0,1821,36,2485,8941,4214,2147,0,0,0,0,0,0,0,0,0
63,T.J. Maxx,FL,25.64533932,-80.33584156,337427,"25.64533932,-80.33584156",0,4,1,1,0,0,1,0,0,0,0,3409989,656538,458028,0,0,1047807,0,0,0,7,5572362,5,8,11,24,797.4852939515729,1021.7647058823529,826.3137420917978,864.0327444719886,1955.0,,1480.25,1558.5,0.0,14.0,0.0,4.0,0.0,1.0,2.0,25.0,4.0,17.0,2.0,3,2,1,10,9,5,1,3,4,1212974,851945,653898,4487245,11563650,11170975,111883,2088856,1557773,1,1,1,31.0,143608,3721.4,90417,254880,76162,42.7,55243,471885,34821,17346,1975,27964,21484,320131,240583,291512,32751901,58814435,42491,17097,40290,11417,114986,31595,158313,4102.5,61807,12757,39103,16975,50469,86781,100,100,100,114986,22809,1635,0,14066,3297,996,8525,1122,954,0,0,3251,0,11314,0,0,1266,0,0,0,0,0,0,0,0,0,109,4203,7722,0,0,1158,5027,3597,0,0,176,5004,0,0,1583,0,0,1792,22,0,0,0,0,0,0,347,1624,1138,3397,6480,0,0,0,2373,0,0,0,0,0,0,0,0
64,T.J. Maxx,FL,30.19218922,-81.74298135,335570,"30.19218922,-81.74298135",0,2,0,0,0,0,0,1,1,0,0,1563376,0,0,0,0,0,393812,41283,0,4,1998471,0,17,21,1,,1003.0543347004314,925.1855533191991,916.7441860465116,,1429.5714285714287,1239.2857142857142,,0.0,9.0,0.0,1.0,0.0,0.0,2.0,35.0,0.0,3.0,1.0,2,2,5,3,5,8,1,2,3,552741,720218,3278126,922476,3571225,14794459,249352,597052,821652,1,1,2,36.0,79595,2739.7,60402,85344,52326,35.7,32854,189716,17245,13423,1987,9013,3302,58617,176971,157119,10473167,18768224,22989,9400,18847,6499,60796,19414,76190,2622.5,29458,8374,22356,25773,35540,12334,121,134,118,60796,0,0,0,86,426,0,0,0,0,0,0,0,0,8614,340,4367,0,2714,46,1658,0,80,0,0,0,0,2942,0,5266,0,0,0,0,0,12889,0,3013,2087,1059,0,0,0,0,0,0,0,0,0,40,0,0,916,4705,1304,307,1494,5734,315,0,0,0,0,0,0,395,0,0,0
65,T.J. Maxx,FL,27.99824863,-82.56452435,335513,"27.99824863,-82.56452435",1,2,0,0,0,1,0,0,0,0,184795,1919253,0,0,0,620514,0,0,0,0,4,2724562,10,15,16,0,1005.2691322064995,947.2670747629694,849.1334674310012,,2075.8571428571427,1711.3076923076924,1523.0625,,1.0,2.0,0.0,0.0,0.0,0.0,2.0,39.0,0.0,1.0,1.0,4,1,4,7,5,10,1,2,3,1058415,404724,2713974,2126710,4614721,16286589,396596,860013,1301513,0,0,1,23.0,116392,3416.0,59425,86855,52056,38.6,48283,237175,24512,21263,1984,17380,8677,192223,267760,287105,18328568,31990440,34971,13875,29498,9862,94084,30298,168831,4955.1,43164,12449,36779,9100,47213,64084,104,111,102,94084,243,0,861,0,0,90,0,0,1362,0,2079,0,2149,8835,0,1797,3057,5048,2376,185,0,0,0,0,0,0,1631,2291,16172,747,0,5557,0,2690,4771,0,790,836,45,0,1276,0,0,1270,0,0,0,0,5411,0,0,6230,11453,3207,0,859,0,0,0,0,0,738,0,0,0,0,0,27
66,T.J. Maxx,FL,28.53867377,-81.73534444,335203,"28.53867377,-81.73534444",1,2,0,0,0,0,0,1,1,0,296874,2147279,0,0,0,0,0,393542,214163,0,5,3051858,3,11,8,0,1113.1761347348304,928.9509990705873,904.3098591549295,,1855.3333333333333,1672.2857142857142,1132.0,,0.0,3.0,0.0,1.0,0.0,1.0,0.0,13.0,3.0,5.0,1.0,1,1,2,2,1,2,1,0,1,251441,363451,1581239,780847,786932,3838096,224992,,650072,0,0,2,62.0,60327,2464.5,76368,192052,62786,41.5,24838,291291,16255,6747,2002,9662,4843,7198,35838,140074,9687948,17705248,18351,7158,15883,5072,47380,14693,56196,2295.7,27589,5311,13577,6820,37162,13426,104,108,103,47380,0,0,0,0,0,0,0,0,0,0,0,0,13502,0,19391,0,0,0,1843,0,0,0,2285,0,0,0,0,0,0,0,0,0,0,0,0,0,3228,1276,0,4504,0,0,0,0,0,456,0,0,0,0,0,0,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,T.J. Maxx,FL,26.93601626,-80.09159423,333353,"26.93601626,-80.09159423",1,5,1,0,0,0,0,0,1,1,276391,3133119,342207,0,0,0,0,0,45875,553563,9,4351155,6,4,2,0,1005.4993501613932,964.2553398356029,959.0362116991644,,2405.2,2203.0,1630.0,,0.0,3.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1,1,1,2,2,2,1,1,2,248532,282832,544366,390065,1819379,3568138,395674,309767,854361,1,1,1,19.0,69636,2431.9,100008,354428,82615,49.6,37142,434908,22656,7958,1987,16554,10729,39453,110688,191854,20053038,35367171,21285,8837,20117,6812,58432,16242,79905,2790.5,32738,7691,15265,1557,54332,11801,71,46,75,58432,0,287,5700,272,6749,0,0,0,887,0,0,0,0,1718,0,2162,5366,0,370,1767,877,0,0,0,0,0,0,0,2007,0,0,0,0,2483,1972,0,3979,2780,0,10562,0,3797,963,1079,0,0,0,0,0,0,0,0,1168,0,0,0,0,0,0,1487,0,0,0,0,0,0,0,0
68,T.J. Maxx,FL,27.93010714,-82.7891115,333314,"27.93010714,-82.7891115",1,8,0,0,0,1,0,1,1,0,233930,5205472,0,0,0,628485,0,253935,55206,0,12,6377028,2,9,32,23,898.104761904762,925.4879327613604,892.7342464422121,687.9920001848269,1764.0,1785.7777777777778,1390.6666666666667,1307.75,0.0,24.0,0.0,10.0,1.0,0.0,5.0,53.0,0.0,11.0,2.0,3,2,4,5,5,5,3,2,4,856848,1092044,2698369,1340560,4581270,10664343,1282676,1073070,1126073,0,0,2,91.0,133176,4279.9,54225,120330,47075,49.9,69796,231933,37909,22465,1973,18610,8765,30001,103911,277959,21488478,38993372,39857,17469,33668,12786,111723,34465,133191,4280.4,50037,19962,35177,13153,94061,19924,118,115,119,111723,0,0,0,0,1946,0,0,0,0,0,0,0,0,0,0,7570,1543,4471,6508,11013,0,0,478,0,0,0,0,0,0,0,0,0,0,873,1553,0,11146,8367,3242,1501,1890,7865,12454,7795,1001,0,0,0,740,987,0,0,3807,5400,2363,4030,1080,1516,586,0,0,0,0,0,0,0,0,0
69,T.J. Maxx,FL,26.53119923,-80.08904205,330921,"26.53119923,-80.08904205",1,5,0,1,0,1,0,0,1,0,63477,4530525,0,332659,0,544660,0,0,65167,0,9,5536488,10,20,16,5,1104.0435697415028,1056.0775674179583,1016.6827619949495,674.6527777777778,2395.6,2097.0625,1974.6666666666667,1582.5,0.0,3.0,0.0,1.0,0.0,1.0,4.0,36.0,4.0,10.0,1.0,1,1,1,6,5,6,1,2,3,315678,534774,693216,1960858,5368334,9255984,455531,1105012,995849,2,1,5,143.0,179202,4239.2,66845,175169,56358,47.3,87783,287819,49509,25791,1985,29244,16232,101389,159364,169671,33357024,57924203,54564,22737,45052,15911,148478,45292,157876,3734.7,72415,19005,48947,45764,95475,34574,106,105,106,148478,0,0,790,3199,379,0,976,0,0,0,3799,0,2838,16985,0,1131,1810,1321,4967,1123,0,0,614,0,0,0,2723,0,11236,1077,238,4751,0,2102,6032,0,1669,4983,949,8209,5837,24366,0,6738,0,0,0,0,3445,0,0,5913,5784,2410,1085,2436,0,3374,2521,0,0,669,0,0,0,0,0,0
70,T.J. Maxx,FL,29.47775566,-81.2153126,330474,"29.47775566,-81.2153126",1,1,0,0,0,0,0,1,0,0,234330,722689,0,0,0,0,0,374739,0,0,3,1331758,1,3,2,5,1361.910447761194,941.1808562437946,1050.4375,,1637.0,1555.0,1205.0,,0.0,7.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,5.0,0.0,0,1,1,1,1,1,0,0,0,,310421,670774,346203,720426,2276361,,,,1,1,2,39.0,31493,957.9,60132,138437,52220,41.7,13834,257561,8506,4153,2002,3434,2065,1362,6526,26665,4494527,8553929,9275,3904,7961,2780,24564,7701,27935,849.7,12942,3205,7603,4046,22323,3876,128,160,123,24564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5064,0,0,0,10646,7331,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,0,0,0,0,0,0,0,0,0
71,T.J. Maxx,FL,26.00974618,-80.35720031,320118,"26.00974618,-80.35720031",1,5,1,1,1,0,1,1,1,0,440788,4567787,397661,412301,920914,0,1089807,628154,94528,0,12,8551940,6,3,2,0,1112.6950723415491,1132.1141304347825,948.75,,2760.1666666666665,2537.0,2027.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,3.0,0.0,4,2,4,15,9,9,3,2,4,1556598,924299,2695278,5366953,9515441,18592251,1145515,821880,1414205,1,1,3,157.0,151691,3938.1,96646,283957,79804,40.6,54695,394460,40347,12604,1995,27268,18474,237329,111209,277096,29599981,52054518,46928,19475,41715,11633,119817,35139,132077,3428.9,68090,11347,40063,27982,43946,79853,64,35,69,119817,0,10425,13472,7956,0,0,1737,0,0,0,0,0,41282,957,0,0,0,0,0,0,0,0,0,0,0,0,16334,0,1832,0,0,0,0,0,8764,0,0,0,0,0,0,12722,0,2630,0,0,0,0,0,0,0,1706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,T.J. Maxx,FL,27.6385425,-80.38230785,318362,"27.6385425,-80.38230785",0,2,1,0,0,1,0,0,1,0,0,1731460,315764,0,0,492526,0,0,88330,0,5,2628080,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,1,1,1,1,0,0,1,,,833827,305949,1017508,1983272,,,702859,0,0,0,0.0,56285,1811.1,59187,187972,51182,54.1,31278,268961,18356,7625,1981,8934,5649,71041,83472,114893,11125194,20122956,16456,7297,14110,5353,47710,14315,70919,2282.0,23610,6962,13386,7042,41003,6526,94,99,93,47710,539,0,0,0,21,0,0,0,0,0,0,0,0,0,50,49,0,0,2041,5654,187,0,3789,0,0,2865,0,0,1182,0,0,0,0,0,0,0,718,2513,0,5969,0,4951,77,6311,1815,0,862,0,0,0,0,0,328,2012,300,0,1820,1167,2488,0,0,0,0,0,0,0,0,0
73,T.J. Maxx,FL,28.81919966,-81.67658074,317349,"28.81919966,-81.67658074",1,2,0,0,0,0,0,1,1,0,276508,1946068,0,0,0,0,0,507220,79212,0,5,2809008,0,2,12,11,,1104.2642857142857,875.1688842565562,727.5171662498991,,1296.0,1110.0,858.75,0.0,14.0,0.0,5.0,0.0,0.0,0.0,19.0,0.0,5.0,1.0,0,1,2,1,1,1,0,0,0,,393412,1339641,341085,544541,2341079,,,,0,0,1,17.0,50621,1894.9,56374,132035,49266,48.6,23810,262563,13192,8263,1981,6097,4137,14399,42989,79486,7644223,14099811,14683,6542,11967,4493,41640,13143,58233,2179.9,21273,6309,11608,6267,35163,7929,114,88,118,41640,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3395,2831,0,0,4711,2039,613,0,0,0,0,1088,0,0,0,0,0,0,0,0,0,0,1942,0,2050,1321,0,4162,7542,1119,2084,15,0,0,0,657,0,0,0,784,0,0,1333,3945,0,0,0,0,0,0,0,0,0,0
74,T.J. Maxx,FL,26.8431894,-80.07067753,309767,"26.8431894,-80.07067753",0,5,0,1,1,0,1,0,1,0,0,3674284,0,353129,754631,0,991086,0,62829,0,9,5835959,8,10,2,0,1325.5127326839827,1062.068962029144,1011.6666666666666,,3057.6,2407.3333333333335,1423.0,,0.0,4.0,0.0,1.0,0.0,1.0,1.0,15.0,1.0,4.0,0.0,2,1,2,4,3,3,2,2,2,619808,282832,1027946,1035719,2612070,4919185,735224,804880,854361,0,0,3,85.0,88748,2774.5,89869,277379,75647,49.7,46810,405791,27232,12517,1983,19872,12841,163174,227830,279820,24072538,42974920,27057,11146,24927,8732,74708,21242,112057,3503.2,39405,10277,21712,13255,60410,11121,121,92,127,74708,186,0,1504,2494,7723,0,0,0,3055,0,0,0,0,0,0,1566,4650,5554,4078,1404,0,0,987,0,0,0,702,0,653,0,0,0,0,2042,0,0,1135,7647,0,7207,2653,3279,718,4554,0,0,0,0,51,0,0,905,3088,1637,0,257,0,0,2912,0,0,0,1345,720,0,0,0,0
75,T.J. Maxx,FL,28.93295269,-81.93829386,308812,"28.93295269,-81.93829386",1,2,0,1,0,0,0,2,1,0,248988,1634026,0,628375,0,0,0,969858,34190,0,7,3515437,0,4,1,1,,1089.8241449192437,,807.1969696969697,,1385.3333333333333,,655.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,1,2,1,1,3,0,0,1,,449668,1541401,284386,1002219,5601104,,,466065,2,1,3,87.0,40842,972.1,53697,276071,45716,70.4,26001,238851,17767,4185,1995,5082,4308,18863,54060,168957,7550327,12593857,13767,6881,9330,4633,37924,10753,48520,1154.9,23839,4855,4234,1348,36169,2420,51,27,55,37924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,134,0,0,1383,372,0,0,0,0,0,0,0,0,0,0,2631,0,0,0,0,27359,4786,0,0,0,740,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
76,T.J. Maxx,FL,26.44302204,-80.07223489,302075,"26.44302204,-80.07223489",0,3,1,0,1,1,1,0,1,0,0,1790768,236735,0,672562,431792,815893,0,24617,0,8,3972367,10,20,8,3,1131.9395725312559,1044.1933014028511,839.4400033159961,834.0,3062.5555555555557,2629.7,,1361.0,0.0,16.0,0.0,3.0,0.0,0.0,1.0,26.0,5.0,9.0,2.0,2,1,1,5,5,4,2,2,3,644635,534774,693216,1558211,4980199,6203858,1025265,719206,1060247,1,1,2,28.0,104089,3461.0,77171,208068,63935,52.9,61607,387177,31781,17763,1982,23933,15088,88830,251041,251443,27794285,48892912,32004,13180,29475,10476,89769,25442,149724,4978.4,41945,13127,29308,17811,69145,13556,129,110,133,89769,0,0,0,0,8482,4771,1093,0,0,0,1169,0,0,2356,0,0,5021,739,0,322,0,0,0,0,0,0,0,0,3353,0,0,0,0,3659,1276,0,3572,4086,0,11409,6226,7541,0,11661,0,0,0,0,0,0,0,2783,0,1146,1492,3715,0,1651,2242,0,0,0,0,0,0,0,4,0
77,T.J. Maxx,FL,28.6278281,-81.31945704,299426,"28.6278281,-81.31945704",2,4,0,0,0,1,0,1,1,1,497365,3108631,0,0,0,732743,0,429758,55159,347518,10,5171174,6,22,49,11,988.3713363948899,946.0848941068242,845.4638768012161,824.467300750301,2246.1666666666665,1674.05,1412.4,1307.857142857143,0.0,15.0,0.0,5.0,0.0,1.0,2.0,78.0,1.0,8.0,2.0,2,3,6,13,7,7,2,5,5,830281,1474436,3846099,3885485,5745010,13426575,667451,2394864,1506340,1,1,2,35.0,116360,3601.8,68047,121525,57923,39.7,53126,304529,28210,21647,1979,23952,14298,22122,125573,192643,23624580,42001359,35403,15241,31669,10716,96635,28627,115035,3560.8,46285,11793,36021,10952,72190,29463,98,92,100,96635,3142,0,0,4775,1115,2558,1200,0,0,413,0,0,0,11004,0,2550,1500,4511,3367,2945,1795,0,409,0,0,0,0,0,90,0,0,0,0,2200,6215,0,2410,12634,0,0,2480,0,209,7100,0,0,0,0,0,0,0,5592,1763,7271,0,681,0,0,130,0,0,0,0,0,0,6577,0,0
78,T.J. Maxx,FL,28.23348648,-82.73085927,296551,"28.23348648,-82.73085927",1,2,0,0,0,0,0,3,0,0,233929,1461695,0,0,0,0,0,941454,0,0,6,2637078,0,5,8,16,,1006.3770926216641,817.2746354724989,853.0432908277736,,1349.0,1048.1666666666667,1075.5,0.0,15.0,0.0,9.0,0.0,0.0,0.0,20.0,3.0,7.0,0.0,1,1,2,2,3,5,1,1,1,261161,399197,1361623,694641,2189536,9454835,283091,393258,555623,1,1,2,48.0,94206,3364.8,44366,80808,38413,48.0,48319,123495,25601,15624,1977,8235,3595,23826,94960,161719,11490199,21661570,26714,11655,21550,8505,78083,25461,87968,3142.0,36272,11959,24676,4734,71987,14715,106,120,103,78083,0,0,0,52,0,0,0,0,0,0,0,0,0,0,1806,422,0,0,770,3103,0,0,0,0,0,12391,0,0,0,0,0,0,0,0,78,0,956,5937,1465,1484,1177,2069,10876,2841,2695,0,0,0,0,0,0,0,0,2501,0,0,14463,12996,0,0,0,0,0,0,0,0,0,0
79,T.J. Maxx,FL,28.51589552,-81.37907899,280372,"28.51589552,-81.37907899",1,4,0,0,0,2,0,1,1,0,130063,3318489,0,0,0,1135504,0,224582,87033,0,9,4895671,16,24,72,35,933.2410048051449,922.1655490520822,838.8471604674152,702.266446688861,2241.875,1705.090909090909,1431.2272727272727,1270.6153846153845,0.0,45.0,0.0,12.0,1.0,0.0,4.0,102.0,10.0,30.0,5.0,3,2,4,16,7,8,3,2,5,1209728,778752,2432946,4744400,5288927,16840973,684794,645011,1676592,2,1,2,23.0,139021,4240.3,56413,37454,49730,37.3,66229,311659,22324,37873,1976,24043,11916,152272,270701,296207,24314793,42535705,39446,16249,35841,13308,113142,35932,251275,7664.2,40425,15963,54434,42172,59842,35133,189,206,186,113142,0,0,0,116,204,2904,0,0,0,0,15440,0,0,1033,0,5050,1339,6839,0,0,0,761,0,0,0,0,0,0,3188,0,0,0,0,8794,730,0,1821,6837,5448,0,0,1497,1039,1416,3409,0,0,0,0,0,0,9841,16226,0,3266,1802,318,1962,7790,0,0,301,1667,0,0,0,0,2106
80,T.J. Maxx,FL,28.34613124,-81.482625,276207,"28.34613124,-81.482625",1,3,0,0,0,0,0,0,0,0,226313,3971916,0,0,0,0,0,0,0,0,4,4198229,10,18,24,13,999.6961220944744,1024.674445774816,923.7339183219729,,1868.4,1941.909090909091,1643.3333333333333,,0.0,14.0,0.0,4.0,1.0,1.0,3.0,31.0,8.0,18.0,8.0,3,1,2,13,4,6,1,3,3,840615,451703,1082197,4369768,2724133,17409438,225273,1189767,1158753,0,0,3,284.0,69419,2027.8,55189,37957,48551,34.3,30398,267436,9885,14638,1999,11854,5109,193389,69486,65811,8870011,15448983,20397,8103,17992,5309,54656,17111,95858,2800.1,25795,5872,23107,4532,27310,36153,144,130,147,54656,0,189,0,0,0,2017,0,0,0,0,4124,0,7177,0,0,0,0,0,0,0,0,0,0,0,2171,0,4300,0,5061,0,0,0,0,0,913,0,152,0,0,0,0,0,0,0,0,0,0,0,5496,0,0,1495,6212,0,0,0,0,0,0,14426,0,0,0,0,0,0,923,0
