,PROPERTY_ID,PROPERTY_NAME,PROPERTY_ADDRESS,PROPERTY_CITY,COUNTY_NAME,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,Impr_Rating,Loc_Rating,Property_Overall_Rating,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Fractured_Condo,Adaptive_Reuse,Single_Family_Rental,Mixed_Use,sqft_mixed_use
4661,143_1211455,"Views at Chase Creek, The",314 Old Gurley Road,Huntsville,Madison,AL,35811,34.770987,-86.530412,228,0,,C+,Under Construction,,,,,,,,,,,,,Workforce,,,,,,,,,,0
4662,143_1294440,Virtuoso Phase II,100 Rockcrest Drive NW,Huntsville,Madison,AL,35806,34.753926,-86.685468,222,0,,B,Under Construction,N,N,N,N,,,,,,FALSE,,,Low Mid-Range,,0,0,0,0,,,,0,0
4663,143_1304,Butler Terrace/Butler Terrace Addition,206 Seminole Drive SW,Huntsville,Madison,AL,35805,34.7223487,-86.598471,254,210892,C-,D,Completed,N,A,N,N,,,,,,FALSE,,Workforce,Workforce,,0,1,0,0,,,,0,0
4664,143_1308447,"Hamlet at MidCity, The",1044 Old Monrovia Road NW,Huntsville,Madison,AL,35806,34.745918,-86.662801,236,0,,B-,Planned,N,,N,N,,,TRUE,,,FALSE,,,Low Mid-Range,,0,,0,0,,,1,0,0
4665,143_1355,Charleston Oaks,222 Kyser Blvd,Madison,Madison,AL,35758,34.690498,-86.7547,240,224976,A-,B,Completed,N,N,N,N,,,,97.5,1095,FALSE,,High Mid-Range,Low Mid-Range,,0,0,0,0,,,,0,0
4666,143_1360,Eclipse,401 Williams Avenue SW,Huntsville,Madison,AL,35801,34.725659,-86.587599,278,,,B+,Under Construction,N,,N,N,,FALSE,,,,TRUE,"Includes 40,000 Square Feet of Office and 18,408 Square Feet of Retail",,High Mid-Range,,0,,0,0,,0,,1,58408
4667,143_1367,Ballpark Apartments @ Town Madison,200 Town Madison Blvd,Madison,Madison,AL,35758,34.684364,-86.719173,274,277744,A-,B,Completed,N,N,N,N,,FALSE,,91.6,1523,FALSE,,High Mid-Range,Low Mid-Range,,0,0,0,0,,0,,0,0
4668,143_1374,Constellation,Clinton Avenue West & Memorial Pkwy SW,Huntsville,Madison,AL,35801,34.726002,-86.596361,219,0,,B-,Under Construction,,N,,,,,,,,,,,Low Mid-Range,,,0,,,,,,,0
4669,143_1392228,Sanctuary at Indian Creek,Lee Hwy & Slaughter Road,Madison,Madison,AL,35758,34.755292,-86.714355,247,0,,B+,Prospective,,,,,,,,,,,,,High Mid-Range,,,,,,,,,,0
4670,143_157,Huntsville Parc,1 Springtime Blvd,Huntsville,Madison,AL,35802,34.671728,-86.578926,276,254908,B+,C+,Completed,N,N,N,N,,,,97.8,1223,FALSE,,High Mid-Range,Workforce,,0,0,0,0,,,,0,0
