,Rank,Name,State,Lat,Long,Total_Visits,client_coords,Household_Income_0-25K,Household_Income_25K-50K,Household_Income_50K-75K,Household_Income_75K-100K,Household_Income_100K-150K,Household_Income_150K+
110,16,T.J. Maxx,FL,30.42708329,-86.64275731,502766,"30.42708329,-86.64275731",1798.0,3332.0,3427.0,2780.0,3030.0,2375.0
111,17,T.J. Maxx,FL,28.09361164,-81.97052271,501134,"28.09361164,-81.97052271",4546.0,7490.0,6016.0,3994.0,4320.0,1968.0
112,18,T.J. Maxx,FL,30.18750453,-85.66889004,488801,"30.18750453,-85.66889004",2816.0,5056.0,4237.0,3886.0,3420.0,2722.0
113,19,T.J. Maxx,FL,25.48055461,-80.44006876,487096,"25.48055461,-80.44006876",8267.0,9420.0,6522.0,3924.0,4107.0,2637.0
114,20,T.J. Maxx,FL,29.1655025,-82.17087219,486906,"29.1655025,-82.17087219",3084.0,4175.0,2742.0,1766.0,1741.0,2207.0
115,21,T.J. Maxx,FL,27.94218865,-82.32392391,483380,"27.94218865,-82.32392391",6864.0,11734.0,11627.0,7728.0,7023.0,5380.0
116,22,T.J. Maxx,FL,26.20787927,-81.76659535,474058,"26.20787927,-81.76659535",3035.0,6726.0,5896.0,5166.0,6126.0,10697.0
117,23,T.J. Maxx,FL,26.72314373,-80.09031477,471527,"26.72314373,-80.09031477",8059.0,11663.0,9790.0,6210.0,6647.0,5066.0
118,24,T.J. Maxx,FL,30.31812252,-81.49467181,468333,"30.31812252,-81.49467181",4370.0,8770.0,8761.0,6707.0,8758.0,7373.0
119,25,T.J. Maxx,FL,26.54322828,-81.87297893,462091,"26.54322828,-81.87297893",2921.0,6362.0,6380.0,4586.0,5775.0,6281.0
120,26,T.J. Maxx,FL,28.00274354,-81.71699889,452901,"28.00274354,-81.71699889",4235.0,6028.0,4314.0,2703.0,2785.0,1888.0
121,27,T.J. Maxx,FL,27.83769786,-82.78558611,447977,"27.83769786,-82.78558611",4848.0,12063.0,9812.0,8164.0,10024.0,8449.0
122,28,T.J. Maxx,FL,28.34259836,-81.43024952,440521,"28.34259836,-81.43024952",7883.0,14190.0,9131.0,5660.0,5770.0,2928.0
123,29,T.J. Maxx,FL,25.94449895,-80.16804489,437395,"25.94449895,-80.16804489",17366.0,28366.0,21266.0,12594.0,13016.0,11788.0
124,30,T.J. Maxx,FL,28.35488355,-80.69962881,436561,"28.35488355,-80.69962881",2220.0,3688.0,3892.0,2719.0,3418.0,2966.0
125,31,T.J. Maxx,FL,28.85592895,-82.38808677,436022,"28.85592895,-82.38808677",569.0,2155.0,1491.0,754.0,1013.0,730.0
126,32,T.J. Maxx,FL,27.9343907,-82.5041293,433619,"27.9343907,-82.5041293",6198.0,7798.0,6520.0,5131.0,7936.0,12638.0
127,33,T.J. Maxx,FL,28.98319412,-81.2970863,433588,"28.98319412,-81.2970863",2339.0,5059.0,4707.0,2989.0,3282.0,2136.0
128,34,T.J. Maxx,FL,26.05054556,-80.1584286,432420,"26.05054556,-80.1584286",10993.0,17933.0,12835.0,9298.0,10560.0,10100.0
129,35,T.J. Maxx,FL,28.09657182,-82.50415771,426394,"28.09657182,-82.50415771",6535.0,8705.0,9959.0,6349.0,8316.0,9407.0
130,36,T.J. Maxx,FL,27.3912488,-82.45129698,425778,"27.3912488,-82.45129698",2312.0,5022.0,5547.0,4690.0,6245.0,6343.0
131,37,T.J. Maxx,FL,26.4087816,-81.80781382,424396,"26.4087816,-81.80781382",1388.0,3075.0,4321.0,3489.0,4738.0,5789.0
132,38,T.J. Maxx,FL,28.24525552,-82.3519224,422295,"28.24525552,-82.3519224",1003.0,2318.0,3334.0,3677.0,4458.0,4377.0
133,39,T.J. Maxx,FL,27.17634489,-80.23343587,420282,"27.17634489,-80.23343587",2188.0,4359.0,4847.0,3793.0,5438.0,5495.0
134,40,T.J. Maxx,FL,26.67048683,-80.20063747,420064,"26.67048683,-80.20063747",4974.0,9470.0,9866.0,8710.0,9585.0,9943.0
135,41,T.J. Maxx,FL,26.00591221,-80.29370672,417530,"26.00591221,-80.29370672",12526.0,20389.0,18148.0,14337.0,18339.0,14140.0
136,42,T.J. Maxx,FL,30.17392564,-81.62531711,414246,"30.17392564,-81.62531711",2070.0,5412.0,5696.0,5603.0,7049.0,7446.0
137,43,T.J. Maxx,FL,27.26705026,-80.42612145,412044,"27.26705026,-80.42612145",2252.0,6528.0,6863.0,4547.0,4850.0,3334.0
138,44,T.J. Maxx,FL,27.30044557,-82.51561173,407702,"27.30044557,-82.51561173",4117.0,8477.0,8667.0,6617.0,7997.0,8775.0
139,45,T.J. Maxx,FL,28.65402248,-81.23824259,407213,"28.65402248,-81.23824259",3646.0,7058.0,7055.0,6566.0,9223.0,8994.0
140,46,T.J. Maxx,FL,26.09446672,-80.24687382,404350,"26.09446672,-80.24687382",11584.0,18394.0,14754.0,12186.0,14359.0,14202.0
141,47,T.J. Maxx,FL,28.3437306,-81.61100861,403661,"28.3437306,-81.61100861",908.0,1940.0,1767.0,1634.0,1930.0,1836.0
142,48,T.J. Maxx,FL,24.56895824,-81.76467933,398704,"24.56895824,-81.76467933",791.0,1188.0,1327.0,1176.0,1262.0,1391.0
143,49,T.J. Maxx,FL,29.21491333,-81.09462894,394250,"29.21491333,-81.09462894",4047.0,5540.0,4130.0,2543.0,2359.0,1036.0
144,50,T.J. Maxx,FL,28.14520774,-82.74282158,393258,"28.14520774,-82.74282158",3900.0,7821.0,6420.0,4719.0,5482.0,5159.0
145,51,T.J. Maxx,FL,26.36939616,-80.18476253,388285,"26.36939616,-80.18476253",3291.0,8664.0,7792.0,6030.0,9190.0,14170.0
146,52,T.J. Maxx,FL,30.62725796,-81.54318296,384661,"30.62725796,-81.54318296",880.0,979.0,1592.0,1495.0,2088.0,2182.0
147,53,T.J. Maxx,FL,27.03686694,-82.21180891,372532,"27.03686694,-82.21180891",1959.0,5056.0,5376.0,2845.0,3228.0,2362.0
148,54,T.J. Maxx,FL,27.53392359,-82.5001003,361127,"27.53392359,-82.5001003",2810.0,5257.0,5002.0,4203.0,4536.0,3067.0
149,55,T.J. Maxx,FL,25.93157044,-80.13307806,358812,"25.93157044,-80.13307806",12431.0,20459.0,13768.0,8828.0,9364.0,10295.0
150,56,T.J. Maxx,FL,25.84220634,-80.36722567,358548,"25.84220634,-80.36722567",13681.0,18866.0,13601.0,8380.0,9343.0,5531.0
151,57,T.J. Maxx,FL,25.77152352,-80.3586794,357749,"25.77152352,-80.3586794",13406.0,21909.0,16472.0,12257.0,16486.0,12126.0
152,58,T.J. Maxx,FL,28.23810502,-80.72728213,350150,"28.23810502,-80.72728213",1211.0,2369.0,2988.0,2572.0,3783.0,4193.0
153,59,T.J. Maxx,FL,28.46601142,-81.45315319,345585,"28.46601142,-81.45315319",8978.0,11524.0,8326.0,4818.0,5757.0,6602.0
154,60,T.J. Maxx,FL,26.24607539,-80.25473906,344990,"26.24607539,-80.25473906",9982.0,16979.0,17182.0,12502.0,14888.0,12983.0
155,61,T.J. Maxx,FL,26.62472624,-81.94223871,342542,"26.62472624,-81.94223871",4310.0,8523.0,9133.0,6047.0,6731.0,4209.0
156,62,T.J. Maxx,FL,27.78777098,-82.72691369,339013,"27.78777098,-82.72691369",6530.0,13334.0,10823.0,8755.0,9640.0,7415.0
157,63,T.J. Maxx,FL,25.64533932,-80.33584156,337427,"25.64533932,-80.33584156",7177.0,11389.0,10350.0,7603.0,10942.0,17936.0
158,64,T.J. Maxx,FL,30.19218922,-81.74298135,335570,"30.19218922,-81.74298135",5118.0,7909.0,7925.0,6728.0,6830.0,3914.0
159,65,T.J. Maxx,FL,27.99824863,-82.56452435,335513,"27.99824863,-82.56452435",7096.0,10785.0,10193.0,6344.0,6867.0,5596.0
160,66,T.J. Maxx,FL,28.53867377,-81.73534444,335203,"28.53867377,-81.73534444",1727.0,3179.0,2710.0,2759.0,4170.0,2472.0
161,67,T.J. Maxx,FL,26.93601626,-80.09159423,333353,"26.93601626,-80.09159423",1736.0,2771.0,3264.0,3293.0,4574.0,8550.0
162,68,T.J. Maxx,FL,27.93010714,-82.7891115,333314,"27.93010714,-82.7891115",7414.0,13563.0,11264.0,7884.0,9988.0,7736.0
163,69,T.J. Maxx,FL,26.53119923,-80.08904205,330921,"26.53119923,-80.08904205",6148.0,13112.0,12223.0,9426.0,11352.0,10038.0
164,70,T.J. Maxx,FL,29.47775566,-81.2153126,330474,"29.47775566,-81.2153126",2093.0,4217.0,3269.0,2170.0,2622.0,1940.0
165,71,T.J. Maxx,FL,26.00974618,-80.35720031,320118,"26.00974618,-80.35720031",6079.0,8580.0,9206.0,9450.0,14612.0,16925.0
166,72,T.J. Maxx,FL,27.6385425,-80.38230785,318362,"27.6385425,-80.38230785",1912.0,3875.0,4408.0,2813.0,2965.0,3013.0
167,73,T.J. Maxx,FL,28.81919966,-81.67658074,317349,"28.81919966,-81.67658074",2206.0,3321.0,2595.0,2199.0,2311.0,1739.0
168,74,T.J. Maxx,FL,26.8431894,-80.07067753,309767,"26.8431894,-80.07067753",3057.0,5598.0,5331.0,4182.0,6427.0,9734.0
169,75,T.J. Maxx,FL,28.93295269,-81.93829386,308812,"28.93295269,-81.93829386",2213.0,6263.0,6285.0,4885.0,4754.0,2133.0
170,76,T.J. Maxx,FL,26.44302204,-80.07223489,302075,"26.44302204,-80.07223489",3212.0,7324.0,6373.0,5299.0,6502.0,8860.0
171,77,T.J. Maxx,FL,28.6278281,-81.31945704,299426,"28.6278281,-81.31945704",5670.0,10243.0,9116.0,7994.0,9819.0,11747.0
172,78,T.J. Maxx,FL,28.23348648,-82.73085927,296551,"28.23348648,-82.73085927",5671.0,11010.0,6867.0,4716.0,4098.0,2140.0
173,79,T.J. Maxx,FL,28.51589552,-81.37907899,280372,"28.51589552,-81.37907899",11827.0,14677.0,10741.0,6947.0,7712.0,8777.0
174,80,T.J. Maxx,FL,28.34613124,-81.482625,276207,"28.34613124,-81.482625",3991.0,6559.0,5015.0,3072.0,3825.0,3886.0
175,81,T.J. Maxx,FL,28.26414526,-82.18649301,271995,"28.26414526,-82.18649301",2527.0,3841.0,2863.0,1468.0,1281.0,709.0
176,82,T.J. Maxx,FL,28.65683065,-81.42086953,264589,"28.65683065,-81.42086953",6486.0,13560.0,10792.0,8530.0,9375.0,7960.0
177,83,T.J. Maxx,FL,28.39139541,-81.24781724,264054,"28.39139541,-81.24781724",836.0,1506.0,2080.0,2125.0,2688.0,3664.0
178,84,T.J. Maxx,FL,26.60843087,-81.81345361,239397,"26.60843087,-81.81345361",4195.0,7581.0,6027.0,3733.0,4623.0,4775.0
179,85,T.J. Maxx,FL,30.26072448,-81.6244509,182806,"30.26072448,-81.6244509",4566.0,7511.0,7000.0,5407.0,6322.0,5311.0
180,86,T.J. Maxx,FL,26.09717542,-80.12949882,179403,"26.09717542,-80.12949882",7110.0,11717.0,7063.0,5806.0,7404.0,8551.0
181,87,T.J. Maxx,FL,27.43332377,-82.57887006,134530,"27.43332377,-82.57887006",5317.0,11877.0,8790.0,5226.0,5651.0,3743.0
