,Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_starbucks,has_starbucks
286,58,Marshalls,FL,27.90785906,-82.50472481,331600,"27.90785906,-82.50472481",0,0
287,59,Marshalls,FL,27.98832505,-82.1249478,330807,"27.98832505,-82.1249478",0,0
288,60,Marshalls,FL,25.98142858,-80.35797757,323604,"25.98142858,-80.35797757",1,1
289,61,Marshalls,FL,28.79847527,-81.3341345,320817,"28.79847527,-81.3341345",1,1
290,62,Marshalls,FL,27.96626249,-82.72824974,315075,"27.96626249,-82.72824974",2,1
291,63,Marshalls,FL,26.01274602,-80.25153526,309341,"26.01274602,-80.25153526",0,0
292,64,Marshalls,FL,27.46365197,-82.63403533,305582,"27.46365197,-82.63403533",1,1
293,65,Marshalls,FL,26.6160286,-80.14417633,302981,"26.6160286,-80.14417633",2,1
294,66,Marshalls,FL,28.66364034,-81.38252103,287427,"28.66364034,-81.38252103",1,1
295,67,Marshalls,FL,28.26592456,-81.3308053,285714,"28.26592456,-81.3308053",0,0
296,68,Marshalls,FL,25.8314203,-80.25975734,283748,"25.8314203,-80.25975734",0,0
297,69,Marshalls,FL,27.83623061,-82.68780706,279016,"27.83623061,-82.68780706",2,1
298,70,Marshalls,FL,30.48203772,-87.20826445,277451,"30.48203772,-87.20826445",0,0
299,71,Marshalls,FL,30.31105405,-81.73429752,268583,"30.31105405,-81.73429752",0,0
300,72,Marshalls,FL,28.19081911,-82.45722617,268041,"28.19081911,-82.45722617",0,0
301,73,Marshalls,FL,26.23680797,-80.20107708,266804,"26.23680797,-80.20107708",0,0
302,74,Marshalls,FL,29.26168687,-81.02659535,264460,"29.26168687,-81.02659535",0,0
303,75,Marshalls,FL,26.06015291,-81.69784683,242889,"26.06015291,-81.69784683",1,1
304,76,Marshalls,FL,28.33256231,-81.47381297,242170,"28.33256231,-81.47381297",1,1
305,77,Marshalls,FL,28.54893327,-81.34961019,236513,"28.54893327,-81.34961019",2,1
306,78,Marshalls,FL,28.55435066,-81.47929418,235265,"28.55435066,-81.47929418",0,0
307,79,Marshalls,FL,25.93840204,-80.2473497,233046,"25.93840204,-80.2473497",0,0
308,80,Marshalls,FL,26.18834769,-80.20689326,223103,"26.18834769,-80.20689326",0,0
309,81,Marshalls,FL,30.14840093,-81.75340135,211309,"30.14840093,-81.75340135",1,1
310,82,Marshalls,FL,27.78893025,-82.73017403,201749,"27.78893025,-82.73017403",2,1
311,83,Marshalls,FL,26.11916123,-80.17708116,188704,"26.11916123,-80.17708116",0,0
312,84,Marshalls,FL,25.77398514,-80.32171357,175715,"25.77398514,-80.32171357",0,0
313,85,Marshalls,FL,28.65364973,-81.20987675,150855,"28.65364973,-81.20987675",0,0
314,86,Marshalls,FL,27.07493951,-82.42337358,127309,"27.07493951,-82.42337358",1,1
315,87,Marshalls,FL,27.89163011,-82.78264183,114594,"27.89163011,-82.78264183",1,1
316,1,Marshalls,AL,34.67480735,-86.5457253,579489,"34.67480735,-86.5457253",1,1
317,2,Marshalls,AL,30.37788523,-87.68632428,560818,"30.37788523,-87.68632428",1,1
318,3,Marshalls,AL,32.3596849,-86.15858661,459410,"32.3596849,-86.15858661",2,1
319,4,Marshalls,AL,30.67761061,-88.12260762,418587,"30.67761061,-88.12260762",2,1
320,5,Marshalls,AL,33.36105771,-86.85386633,395458,"33.36105771,-86.85386633",1,1
321,6,Marshalls,AL,33.63910488,-86.62771501,330430,"33.63910488,-86.62771501",0,0
322,7,Marshalls,AL,34.75430438,-86.74775761,266024,"34.75430438,-86.74775761",1,1
