Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo
32,HomeGoods,FL,27.84483595,-82.79276146,315668,"27.84483595,-82.79276146",0,2,1,7,,995.46491,1028.67713,778.1288449,,1778.5,2775,1166.25,0,3,0,1,0,0,1
33,HomeGoods,FL,27.2974095,-82.49483224,315346,"27.2974095,-82.49483224",0,1,9,6,,1171.218182,973.8765709,767.2206487,,2270,1972.111111,1282.5,0,0,0,1,0,0,0
34,HomeGoods,FL,28.53574365,-82.50738891,312041,"28.53574365,-82.50738891",0,0,1,0,,,882.0097087,,,,,,0,1,0,1,0,0,0
35,HomeGoods,FL,30.38946502,-86.43853555,308755,"30.38946502,-86.43853555",3,2,1,0,929.5448268,1040.140071,914.7058824,,2061.333333,2373.5,1454,,0,0,0,0,0,0,0
36,HomeGoods,FL,25.80854892,-80.19409305,301033,"25.80854892,-80.19409305",5,25,39,100,874.1515448,987.569124,855.9163604,709.6494939,2514.2,2621.333333,2269.4,1325.15,0,99,0,36,4,0,3
37,HomeGoods,FL,27.31814121,-80.38932411,287583,"27.31814121,-80.38932411",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
38,HomeGoods,FL,28.20429473,-82.66904311,283091,"28.20429473,-82.66904311",0,2,3,6,,1010.409965,1086.335405,925.899931,,1657,1453,1225.5,0,0,0,1,0,0,0
39,HomeGoods,FL,27.84340964,-82.64425415,277716,"27.84340964,-82.64425415",0,10,17,13,,961.4128191,934.0990863,795.3175414,,2065.8,1768.9375,1348.2,0,4,0,1,0,0,3
40,HomeGoods,FL,28.03892629,-80.6652918,257867,"28.03892629,-80.6652918",0,3,12,5,,1033.099723,987.7177525,758.7410714,,1750.333333,1520.5,1172.75,0,1,0,0,0,0,2
41,HomeGoods,FL,30.3181815,-81.49375477,255909,"30.3181815,-81.49375477",0,11,15,3,,1116.520727,920.0557477,894.8730441,,1776.6,1337.25,1030.5,1,6,0,0,0,0,1
42,HomeGoods,FL,30.19935294,-81.82823341,249352,"30.19935294,-81.82823341",0,2,2,0,,1058.009091,1236.229167,,,1723,1698,,0,1,0,0,0,0,0
43,HomeGoods,FL,28.46543125,-81.30425886,242747,"28.46543125,-81.30425886",0,10,16,1,,1059.530201,960.3185559,575.2325581,,1933.2,1540.5,1150,0,12,0,1,0,0,1
44,HomeGoods,FL,30.62694002,-81.54215145,240966,"30.62694002,-81.54215145",0,1,3,0,,1066.658333,1073.849603,,,1703,1683,,0,2,0,0,0,0,1
45,HomeGoods,FL,28.45118691,-81.49093846,225273,"28.45118691,-81.49093846",3,7,3,0,966.7488746,987.6909641,723.2809381,,2321.5,2094.571429,1407.5,,0,0,0,1,0,0,0
46,HomeGoods,FL,28.54890771,-81.72528837,224992,"28.54890771,-81.72528837",0,8,5,0,,1049.789202,841.216727,,,1774.571429,1495.5,,0,2,0,1,0,0,0
47,HomeGoods,FL,28.49443206,-81.43089219,216774,"28.49443206,-81.43089219",0,31,31,34,,964.0247269,931.7402465,811.8622005,,1727.241379,1395.904762,1277.421053,0,31,0,3,0,0,6
48,HomeGoods,FL,27.46369814,-82.63350917,207024,"27.46369814,-82.63350917",0,2,14,0,,1046.849539,924.0943685,,,2049,1774.75,,0,2,0,0,0,0,2
49,HomeGoods,FL,28.13186982,-82.36669457,205392,"28.13186982,-82.36669457",0,16,0,0,,1100.214482,,,,1834.428571,,,0,1,0,0,0,0,1
50,HomeGoods,FL,26.34287079,-81.80516736,202822,"26.34287079,-81.80516736",0,4,1,1,,1008.881971,1316.672131,957.3076923,,2164.25,2299,,0,1,0,0,0,0,0
51,HomeGoods,FL,26.26183053,-80.10120799,164402,"26.26183053,-80.10120799",1,2,17,13,1043.028436,940.6387525,891.2997894,809.5109299,3247,2384.5,1814.333333,1432.375,0,12,0,5,0,0,3
52,HomeGoods,FL,25.64231842,-80.33253931,111883,"25.64231842,-80.33253931",0,1,4,4,,977.0351288,779.9746549,948.7318811,,1990,1787.5,1710,0,3,0,0,0,0,1
1,HomeGoods,AL,33.42006286,-86.68573381,403453,"33.42006286,-86.68573381",0,22,1,0,,1065.070724,903.2608696,,,1345.090909,1075,,0,0,0,0,0,0,0
2,HomeGoods,AL,33.39283881,-86.8078986,396697,"33.39283881,-86.8078986",0,13,33,0,,1126.992953,1012.440658,,,1269.583333,1070.741935,,0,3,0,2,0,0,0
3,HomeGoods,AL,33.18501388,-87.52761229,393842,"33.18501388,-87.52761229",0,2,37,29,,1117.29436,1070.416131,789.7435421,,1455,1217.068966,721.5454545,18,12,0,3,1,0,0
4,HomeGoods,AL,31.22710584,-85.43081099,368202,"31.22710584,-85.43081099",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
5,HomeGoods,AL,30.65240475,-88.11551895,319823,"30.65240475,-88.11551895",0,0,10,33,,,1141.181163,796.1639387,,,1202.625,792.2592593,0,9,0,4,0,0,0
6,HomeGoods,AL,33.61003818,-86.62374802,266300,"33.61003818,-86.62374802",0,1,3,3,,1091.329787,940.2146487,940.3193277,,1331,996,648,0,2,0,0,0,0,0
7,HomeGoods,AL,34.74181903,-86.66475598,200023,"34.74181903,-86.66475598",0,9,23,12,,989.2429106,948.4859055,826.1174147,,1449.555556,1125.6,758.7,1,5,0,3,0,0,0
1,T.J. Maxx,TN,35.86071326,-83.5683857,788124,"35.86071326,-83.5683857",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
2,T.J. Maxx,TN,36.16725845,-86.50742595,749091,"36.16725845,-86.50742595",0,6,4,0,,1047.557651,1049.860447,,,1719.2,1514,,0,1,0,0,0,1,0
3,T.J. Maxx,TN,35.92612102,-84.05038172,745427,"35.92612102,-84.05038172",0,7,29,12,,1139.300177,967.7509734,784.5633548,,1646.857143,1150.851852,1038.333333,0,5,0,2,0,1,0
4,T.J. Maxx,TN,36.15764194,-85.51977024,660811,"36.15764194,-85.51977024",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
5,T.J. Maxx,TN,35.20680554,-84.85005376,640877,"35.20680554,-84.85005376",0,0,2,5,,,1023.683161,719.5860847,,,1242,766.6666667,0,3,0,1,0,0,0
6,T.J. Maxx,TN,35.68535549,-88.85815346,570941,"35.68535549,-88.85815346",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
7,T.J. Maxx,TN,36.00897711,-84.25540392,564026,"36.00897711,-84.25540392",0,1,4,7,,1030,914.8397536,658.4289157,,1078,1051.5,754.6666667,0,6,0,2,0,0,0
