Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo
59,Marshalls,FL,27.98832505,-82.1249478,330807,"27.98832505,-82.1249478",0,2,3,8,,1027.091853,836.8441919,781.2792674,,1485,1296.333333,1030.8,0,4,0,3,0,0,0
60,Marshalls,FL,25.98142858,-80.35797757,323604,"25.98142858,-80.35797757",0,5,0,0,,1119.605616,,,,2733.8,,,0,0,0,0,0,0,0
61,Marshalls,FL,28.79847527,-81.3341345,320817,"28.79847527,-81.3341345",2,18,9,1,1126.945621,1022.864048,965.0676535,989.5168539,1863,1729.6875,1604.6,1694,0,5,0,1,0,0,1
62,Marshalls,FL,27.96626249,-82.72824974,315075,"27.96626249,-82.72824974",0,8,19,7,,1048.878092,919.4007767,837.2509487,,2141.125,1567.736842,1202,0,3,0,1,0,0,1
63,Marshalls,FL,26.01274602,-80.25153526,309341,"26.01274602,-80.25153526",0,17,19,10,,1044.439649,842.067795,644.5723582,,2405,1592.727273,1333.75,0,17,0,10,0,0,3
64,Marshalls,FL,27.46365197,-82.63403533,305582,"27.46365197,-82.63403533",0,2,14,0,,1046.849539,924.0943685,,,2049,1774.75,,0,2,0,0,0,0,2
65,Marshalls,FL,26.6160286,-80.14417633,302981,"26.6160286,-80.14417633",0,2,6,9,,1056.488349,1013.664237,813.4820379,,1851,1694.8,1298.833333,0,5,0,1,0,1,1
66,Marshalls,FL,28.66364034,-81.38252103,287427,"28.66364034,-81.38252103",0,25,25,4,,1010.570089,897.9477722,661.1171329,,1772.32,1484.47619,1089.75,0,6,0,2,0,0,1
67,Marshalls,FL,28.26592456,-81.3308053,285714,"28.26592456,-81.3308053",0,0,14,5,,,979.9197389,596.9449819,,,1586.8,904,0,13,0,5,0,0,0
68,Marshalls,FL,25.8314203,-80.25975734,283748,"25.8314203,-80.25975734",0,0,5,46,,,918.5254058,751.0332103,,,1740,1118.923077,0,35,0,14,0,0,0
69,Marshalls,FL,27.83623061,-82.68780706,279016,"27.83623061,-82.68780706",0,2,13,18,,986.7231481,1001.887263,731.822786,,2154.5,1688.4,1166.583333,0,10,0,4,0,0,0
70,Marshalls,FL,30.48203772,-87.20826445,277451,"30.48203772,-87.20826445",0,0,13,20,,,935.0837441,821.6573328,,,1445.3,1070.875,0,6,0,3,0,0,0
71,Marshalls,FL,30.31105405,-81.73429752,268583,"30.31105405,-81.73429752",0,1,4,23,,881.254386,977.0270539,795.8136791,,1903,1509.5,891.0625,0,10,0,2,0,0,0
72,Marshalls,FL,28.19081911,-82.45722617,268041,"28.19081911,-82.45722617",0,4,1,0,,1017.41638,1103.095238,,,1937.75,1345,,0,0,0,0,0,0,0
73,Marshalls,FL,26.23680797,-80.20107708,266804,"26.23680797,-80.20107708",0,20,15,1,,1016.768342,899.5349945,877.2619048,,2165.736842,1817.384615,1546,0,3,0,1,0,0,2
74,Marshalls,FL,29.26168687,-81.02659535,264460,"29.26168687,-81.02659535",0,0,1,8,,,798.938326,788.3498264,,,1265,1210.666667,0,5,0,3,0,0,0
75,Marshalls,FL,26.06015291,-81.69784683,242889,"26.06015291,-81.69784683",0,1,2,0,,1080.318182,1066.23,,,2432,2028,,0,1,0,0,0,0,0
76,Marshalls,FL,28.33256231,-81.47381297,242170,"28.33256231,-81.47381297",0,5,12,4,,1048.378874,928.8296476,671.3823529,,1810.4,1671.777778,1194.5,0,4,0,2,0,0,2
77,Marshalls,FL,28.54893327,-81.34961019,236513,"28.54893327,-81.34961019",3,26,23,22,964.6638503,935.2028217,917.7310638,745.0014513,1994.333333,2165.730769,1707.133333,1234.058824,0,13,0,6,0,0,2
78,Marshalls,FL,28.55435066,-81.47929418,235265,"28.55435066,-81.47929418",0,13,24,14,,1014.675697,987.4717843,829.1764959,,1764.153846,1596.181818,1117,0,15,0,2,0,1,2
79,Marshalls,FL,25.93840204,-80.2473497,233046,"25.93840204,-80.2473497",0,0,12,32,,,952.0695061,762.2223976,,,2011.5,1295.75,0,28,0,7,0,0,0
80,Marshalls,FL,26.18834769,-80.20689326,223103,"26.18834769,-80.20689326",0,6,33,24,,1034.738149,970.5184883,889.6239026,,1991,1694.576923,1407.6,0,13,0,3,0,0,5
81,Marshalls,FL,30.14840093,-81.75340135,211309,"30.14840093,-81.75340135",0,0,10,3,,,1000.771975,767.3253968,,,1386.222222,1076.5,0,2,0,0,0,0,1
82,Marshalls,FL,27.78893025,-82.73017403,201749,"27.78893025,-82.73017403",0,1,4,13,,827.95,741.0652958,785.1969125,,1462,1762.666667,1182.25,0,2,0,2,0,0,0
83,Marshalls,FL,26.11916123,-80.17708116,188704,"26.11916123,-80.17708116",0,23,18,39,,1023.215747,902.0693434,803.2448407,,2919.15,1837.375,1281.111111,0,26,0,6,0,0,1
84,Marshalls,FL,25.77398514,-80.32171357,175715,"25.77398514,-80.32171357",0,11,13,20,,954.8167289,862.9966251,702.1640639,,2449.333333,2150.222222,1377.625,0,5,0,4,0,0,0
85,Marshalls,FL,28.65364973,-81.20987675,150855,"28.65364973,-81.20987675",0,7,6,0,,1240.285455,1192.794466,,,2268.5,2318.2,,3,3,0,0,0,1,0
86,Marshalls,FL,27.07493951,-82.42337358,127309,"27.07493951,-82.42337358",0,0,3,5,,,883.1898451,737.4749432,,,1444.333333,1252,0,2,0,3,0,0,0
87,Marshalls,FL,27.89163011,-82.78264183,114594,"27.89163011,-82.78264183",0,1,16,17,,781.8095238,895.73419,838.1594897,,1211,1475.466667,1316.230769,0,8,0,3,0,0,5
1,Marshalls,AL,34.67480735,-86.5457253,579489,"34.67480735,-86.5457253",0,3,10,7,,975.0487298,1046.632227,755.4054325,,1301.333333,1097.333333,783.8,0,3,0,2,0,0,0
2,Marshalls,AL,30.37788523,-87.68632428,560818,"30.37788523,-87.68632428",0,1,4,5,,1261.816667,1048.09375,839.9731199,,1324,1061.5,1006,0,2,0,1,0,2,0
3,Marshalls,AL,32.3596849,-86.15858661,459410,"32.3596849,-86.15858661",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
4,Marshalls,AL,30.67761061,-88.12260762,418587,"30.67761061,-88.12260762",0,0,11,36,,,1137.729704,794.9971249,,,1215.5,795.0344828,0,8,0,3,1,0,0
5,Marshalls,AL,33.36105771,-86.85386633,395458,"33.36105771,-86.85386633",0,6,0,0,,1068.065046,,,,1307.833333,,,0,0,0,0,0,0,0
6,Marshalls,AL,33.63910488,-86.62771501,330430,"33.63910488,-86.62771501",0,1,4,8,,1091.329787,975.2224884,943.1407636,,1331,938,717.5,0,3,0,0,0,0,0
7,Marshalls,AL,34.75430438,-86.74775761,266024,"34.75430438,-86.74775761",0,7,7,0,,1068.112414,1058.845777,,,1400.166667,1113.6,,0,1,0,1,0,0,0
