,Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo,Completed,Planned,Prospective,Under_Construction
46,33,HomeGoods,FL,27.2974095,-82.49483224,315346,"27.2974095,-82.49483224",1,8,16,7,1171.2181818181818,1018.6602968925782,865.7609773419044,775.4538751571009,2270.0,2232.75,1567.3636363636363,1260.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,25.0,1.0,6.0,0.0
47,34,HomeGoods,FL,28.53574365,-82.50738891,312041,"28.53574365,-82.50738891",0,0,1,1,,,882.0097087378641,,,,,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
48,35,HomeGoods,FL,30.38946502,-86.43853555,308755,"30.38946502,-86.43853555",3,5,0,0,929.544826759984,998.3286747323042,,,2061.3333333333335,2067.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
49,36,HomeGoods,FL,25.80854892,-80.19409305,301033,"25.80854892,-80.19409305",62,56,105,187,937.2336517283748,939.3393269198447,812.6723256378232,636.5821113741392,2605.970588235294,2256.684210526316,1758.0,1206.5714285714287,0.0,182.0,0.0,63.0,5.0,0.0,4.0,206.0,42.0,132.0,31.0
50,37,HomeGoods,FL,27.31814121,-80.38932411,287583,"27.31814121,-80.38932411",0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
51,38,HomeGoods,FL,28.20429473,-82.66904311,283091,"28.20429473,-82.66904311",0,7,5,5,,1053.0754139981957,734.4632504805137,1883.0833333333333,,1640.5714285714287,1099.8,1854.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,13.0,0.0,4.0,0.0
52,39,HomeGoods,FL,27.84340964,-82.64425415,277716,"27.84340964,-82.64425415",8,20,22,8,972.8810268382924,953.7364430323172,840.770001569756,725.5801161155282,2123.5,1867.5555555555557,1394.3076923076924,1368.4,0.0,7.0,0.0,1.0,0.0,0.0,3.0,48.0,2.0,7.0,1.0
53,40,HomeGoods,FL,28.03892629,-80.6652918,257867,"28.03892629,-80.6652918",2,2,23,14,1061.0495847625925,949.005,973.9055668761796,722.3554703409052,1628.5,1689.5,1494.1875,1103.25,0.0,6.0,0.0,2.0,0.0,1.0,3.0,32.0,1.0,6.0,2.0
54,41,HomeGoods,FL,30.3181815,-81.49375477,255909,"30.3181815,-81.49375477",4,27,20,2,1112.5068015626205,998.4193484754702,899.5994011684559,940.0289855072464,1680.25,1564.35,1210.142857142857,2193.0,2.0,11.0,0.0,0.0,0.0,0.0,2.0,48.0,0.0,5.0,0.0
55,42,HomeGoods,FL,30.19935294,-81.82823341,249352,"30.19935294,-81.82823341",0,6,3,0,,1128.6035383244207,698.344262295082,,,1677.75,1017.0,,0.0,2.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0
56,43,HomeGoods,FL,28.46543125,-81.30425886,242747,"28.46543125,-81.30425886",6,15,17,6,1074.0729876555804,1016.1677908090248,881.9704016516615,575.2325581395348,1933.2,1625.909090909091,1467.2857142857142,1150.0,0.0,13.0,0.0,1.0,1.0,0.0,1.0,33.0,3.0,6.0,2.0
57,44,HomeGoods,FL,30.62694002,-81.54215145,240966,"30.62694002,-81.54215145",2,2,0,0,1079.0375,1065.0660714285714,,,1591.0,1785.0,,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0
58,45,HomeGoods,FL,28.45118691,-81.49093846,225273,"28.45118691,-81.49093846",14,26,4,0,977.6281312548558,923.6135315190998,804.2522895385699,,2034.3076923076924,1786.111111111111,1342.5,,0.0,3.0,0.0,1.0,0.0,0.0,0.0,27.0,2.0,11.0,4.0
59,46,HomeGoods,FL,28.54890771,-81.72528837,224992,"28.54890771,-81.72528837",3,11,9,0,1113.1761347348304,928.9509990705873,904.3098591549295,,1855.3333333333333,1672.2857142857142,1132.0,,0.0,3.0,0.0,1.0,0.0,1.0,0.0,13.0,3.0,6.0,1.0
60,47,HomeGoods,FL,28.49443206,-81.43089219,216774,"28.49443206,-81.43089219",13,57,38,35,1020.7394310246192,937.7608295431256,900.8677148017765,752.6243472488261,1809.7692307692307,1585.1860465116279,1362.3125,1205.4,0.0,43.0,0.0,7.0,0.0,0.0,7.0,111.0,4.0,20.0,8.0
61,48,HomeGoods,FL,27.46369814,-82.63350917,207024,"27.46369814,-82.63350917",0,12,11,2,,959.5063695110565,885.5283103502281,758.0617760617761,,1794.1,1678.2222222222222,1319.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,2.0,1.0
62,49,HomeGoods,FL,28.13186982,-82.36669457,205392,"28.13186982,-82.36669457",6,11,0,0,1110.2200355143248,1094.2111506351728,,,1866.8333333333333,1810.125,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,1.0,0.0
63,50,HomeGoods,FL,26.34287079,-81.80516736,202822,"26.34287079,-81.80516736",2,4,3,0,1002.9543956043956,1063.3000789840864,957.3076923076923,,2157.0,2112.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
64,51,HomeGoods,FL,26.26183053,-80.10120799,164402,"26.26183053,-80.10120799",4,15,27,16,1028.430105859946,921.1518200762237,904.8344496852444,745.8845909093113,2958.0,1774.0,1673.0,1223.4,0.0,21.0,0.0,6.0,0.0,1.0,3.0,43.0,9.0,10.0,0.0
65,52,HomeGoods,FL,25.64231842,-80.33253931,111883,"25.64231842,-80.33253931",4,7,12,24,828.1066174394662,1021.7647058823529,806.050870082934,817.6531488837533,2077.0,,1464.4285714285713,1591.0,0.0,18.0,0.0,6.0,0.0,0.0,2.0,23.0,5.0,17.0,2.0
66,1,HomeGoods,AL,33.42006286,-86.68573381,403453,"33.42006286,-86.68573381",8,25,0,0,1104.1171931211657,1038.4324505800587,,,1546.375,1293.2857142857142,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,2.0,2.0,1.0
67,2,HomeGoods,AL,33.39283881,-86.8078986,396697,"33.39283881,-86.8078986",0,39,11,0,,1034.5463882972956,1088.5890902552262,,,1159.2285714285715,1069.1,,0.0,3.0,0.0,2.0,0.0,0.0,0.0,48.0,0.0,2.0,0.0
68,3,HomeGoods,AL,33.18501388,-87.52761229,393842,"33.18501388,-87.52761229",2,21,37,20,1659.6379272007648,1028.7522633487672,996.7242219513043,756.0428267944177,1941.0,1476.6315789473683,882.56,651.7857142857143,23.0,14.0,0.0,4.0,1.0,0.0,0.0,76.0,0.0,1.0,3.0
69,4,HomeGoods,AL,31.22710584,-85.43081099,368202,"31.22710584,-85.43081099",0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
70,5,HomeGoods,AL,30.65240475,-88.11551895,319823,"30.65240475,-88.11551895",0,3,17,34,,1181.9412698412698,1029.0975497745826,743.274011217053,,1596.3333333333333,923.1333333333333,757.9,0.0,12.0,0.0,5.0,1.0,0.0,0.0,50.0,0.0,4.0,0.0
71,6,HomeGoods,AL,33.61003818,-86.62374802,266300,"33.61003818,-86.62374802",0,3,6,3,,1000.2690222612537,943.6803379416282,907.0943986976334,,1241.0,797.0,663.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
72,7,HomeGoods,AL,34.74181903,-86.66475598,200023,"34.74181903,-86.66475598",4,18,42,9,1016.4556816553225,998.0705830720314,901.4064575518549,868.9251542036975,1419.5,1349.9411764705883,925.8695652173913,739.3333333333334,1.0,10.0,0.0,5.0,0.0,1.0,0.0,54.0,3.0,4.0,12.0
73,1,T.J. Maxx,TN,35.86071326,-83.5683857,788124,"35.86071326,-83.5683857",0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
74,2,T.J. Maxx,TN,36.16725845,-86.50742595,749091,"36.16725845,-86.50742595",3,5,3,1,1053.6511164274323,1050.4450297085814,1022.3333333333334,,1683.3333333333333,1749.3333333333333,1326.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,1.0
75,3,T.J. Maxx,TN,35.92612102,-84.05038172,745427,"35.92612102,-84.05038172",2,16,28,5,1234.2894736842106,1029.8371669684718,926.8782924709042,759.8015701754385,1787.0,1385.5714285714287,1077.7083333333333,1224.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,48.0,1.0,1.0,1.0
76,4,T.J. Maxx,TN,36.15764194,-85.51977024,660811,"36.15764194,-85.51977024",0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
77,5,T.J. Maxx,TN,35.20680554,-84.85005376,640877,"35.20680554,-84.85005376",0,2,2,4,,1023.6831606526141,782.5990717821783,626.8888221795066,,1242.0,880.0,710.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
78,6,T.J. Maxx,TN,35.68535549,-88.85815346,570941,"35.68535549,-88.85815346",0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
79,7,T.J. Maxx,TN,36.00897711,-84.25540392,564026,"36.00897711,-84.25540392",0,2,9,3,,946.4252336448599,790.197958334684,684.3784183296378,,1038.0,1002.75,659.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,1.0,1.0
80,8,T.J. Maxx,TN,35.84369359,-86.42686426,561342,"35.84369359,-86.42686426",3,27,20,16,1054.240522875817,1121.4125782289686,973.8433148436909,639.4837494100717,1663.0,1457.8333333333333,1240.4166666666667,904.6363636363636,3.0,7.0,0.0,1.0,0.0,0.0,1.0,56.0,3.0,5.0,2.0
81,9,T.J. Maxx,TN,35.94843845,-86.82378745,556232,"35.94843845,-86.82378745",24,10,7,0,1021.0500641077621,954.5216986067962,895.8809829059829,,2097.6428571428573,1717.2,1440.0,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,25.0,1.0,12.0,3.0
82,10,T.J. Maxx,TN,36.34252832,-82.37427925,545687,"36.34252832,-82.37427925",1,10,9,4,1024.3064516129032,1034.6602202831473,838.5530321001836,586.0,1295.0,1301.5,849.0,701.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,2.0,2.0
83,11,T.J. Maxx,TN,36.58458236,-87.29943281,534449,"36.58458236,-87.29943281",0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
84,12,T.J. Maxx,TN,35.10794912,-89.89152508,500644,"35.10794912,-89.89152508",2,16,19,22,1013.6691291744313,1069.3495796217742,913.2554252947318,868.3997669864382,1872.0,1496.9166666666667,964.5384615384615,737.0588235294117,5.0,7.0,0.0,4.0,2.0,0.0,0.0,49.0,4.0,4.0,2.0
85,13,T.J. Maxx,TN,35.13082689,-85.24237553,500491,"35.13082689,-85.24237553",0,10,6,1,,1005.570593426169,1033.9052706552707,696.6,,1348.75,1060.6666666666667,,0.0,4.0,0.0,1.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0
86,14,T.J. Maxx,TN,35.19806565,-89.79795181,493384,"35.19806565,-89.79795181",1,12,11,2,1094.8594594594595,1015.6571980231056,1000.6047419501303,798.1554160125588,1431.0,1316.090909090909,1016.8888888888889,931.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,2.0,0.0
87,15,T.J. Maxx,TN,35.98682337,-86.55388837,485393,"35.98682337,-86.55388837",0,12,22,0,,1046.4461895421844,889.6413604304394,,,1446.875,1203.0,,0.0,13.0,0.0,4.0,0.0,0.0,0.0,31.0,0.0,2.0,1.0
88,16,T.J. Maxx,TN,35.09294198,-89.80711403,472892,"35.09294198,-89.80711403",2,28,15,0,1073.9377206867161,1058.2061009323133,926.1682670354786,,1781.0,1439.304347826087,952.1538461538462,,0.0,1.0,0.0,3.0,1.0,0.0,0.0,41.0,2.0,1.0,1.0
89,17,T.J. Maxx,TN,35.59649977,-87.05967781,420748,"35.59649977,-87.05967781",0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
90,18,T.J. Maxx,TN,36.54353673,-82.5164586,411169,"36.54353673,-82.5164586",0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
91,19,T.J. Maxx,TN,36.2929558,-86.7005579,394611,"36.2929558,-86.7005579",2,10,18,25,1022.8929824561403,1051.0432431916488,988.2304282642332,743.5085082976382,1581.5,1410.6,1206.9166666666667,1083.6,0.0,17.0,0.0,7.0,0.0,0.0,0.0,45.0,2.0,8.0,0.0
92,20,T.J. Maxx,TN,36.07580319,-86.92191319,327611,"36.07580319,-86.92191319",3,11,9,2,1025.0225483072925,1052.038478755528,1163.8443561340396,,1846.6666666666667,1529.3636363636363,1451.3333333333333,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,2.0
93,21,T.J. Maxx,TN,35.15045294,-89.919667,308351,"35.15045294,-89.919667",1,5,18,25,913.5790960451977,1072.546366517899,870.0999254887076,825.351167641272,1816.0,1800.75,970.8181818181819,782.5,5.0,9.0,0.0,4.0,0.0,0.0,0.0,39.0,2.0,4.0,4.0
94,22,T.J. Maxx,TN,35.03692797,-85.15375197,192587,"35.03692797,-85.15375197",0,12,16,2,,1067.2597305302245,900.3272278172396,708.6964285714286,,1347.8181818181818,1160.7272727272727,547.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,1.0
