Rank,Name,StoreID,Total_Visits,Lat,Long,Place_ID,City,County,State,zipcode,GEOID,TRACT,StateID,CountyID,TractPopulation,TractMedianIncome
31,T.J. Maxx,1066,436022,28.85592895,-82.38808677,,,,,,12017450705,450705,12,17,5066,62540
32,T.J. Maxx,1445,433619,27.9343907,-82.5041293,,,,,,12057006000,6000,12,57,5631,178304
33,T.J. Maxx,755,433588,28.98319412,-81.2970863,,,,,,12127090306,90306,12,127,6917,85645
34,T.J. Maxx,1547,432420,26.05054556,-80.1584286,,,,,,12011080200,80200,12,11,1068,59028
35,T.J. Maxx,290,426394,28.09657182,-82.50415771,,,,,,12057011524,11524,12,57,4910,68370
36,T.J. Maxx,1522,425778,27.3912488,-82.45129698,,,,,,12081000810,810,12,81,5389,101300
37,T.J. Maxx,1039,424396,26.4087816,-81.80781382,,,,,,12071050316,50316,12,71,2332,132596
38,T.J. Maxx,1102,422295,28.24525552,-82.3519224,,,,,,12101032006,32006,12,101,8416,78150
39,T.J. Maxx,719,420282,27.17634489,-80.23343587,,,,,,12085001000,1000,12,85,6405,53933
40,T.J. Maxx,829,420064,26.67048683,-80.20063747,,,,,,12099007778,7778,12,99,7816,155877
41,T.J. Maxx,37,417530,26.00591221,-80.29370672,,,,,,12011110337,110337,12,11,7723,61962
42,T.J. Maxx,647,414246,30.17392564,-81.62531711,,,,,,12031016808,16808,12,31,4055,78333
43,T.J. Maxx,1087,412044,27.26705026,-80.42612145,,,,,,12111382126,382126,12,111,10157,80887
44,T.J. Maxx,714,407702,27.30044557,-82.51561173,,,,,,12115000602,602,12,115,3542,91765
45,T.J. Maxx,802,407213,28.65402248,-81.23824259,,,,,,12117021307,21307,12,117,7396,125924
46,T.J. Maxx,269,404350,26.09446672,-80.24687382,,,,,,12011070204,70204,12,11,5983,77623
47,T.J. Maxx,1331,403661,28.3437306,-81.61100861,,,,,,12097040805,40805,12,97,1379,71220
48,T.J. Maxx,1415,398704,24.56895824,-81.76467933,,,,,,12087971900,971900,12,87,6124,58661
49,T.J. Maxx,26,394250,29.21491333,-81.09462894,,,,,,12127082302,82302,12,127,3404,39802
50,T.J. Maxx,1029,393258,28.14520774,-82.74282158,,,,,,12103027404,27404,12,103,7336,54096
51,T.J. Maxx,391,388285,26.36939616,-80.18476253,,,,,,12099007768,7768,12,99,1582,85391
52,T.J. Maxx,1270,384661,30.62725796,-81.54318296,,,,,,12089050306,50306,12,89,7537,65327
53,T.J. Maxx,1313,372532,27.03686694,-82.21180891,,,,,,12115002737,2737,12,115,6256,67057
54,T.J. Maxx,1297,361127,27.53392359,-82.5001003,,,,,,12081001907,1907,12,81,5142,71711
55,T.J. Maxx,377,358812,25.93157044,-80.13307806,,,,,,12086000128,128,12,86,3393,75729
56,T.J. Maxx,1443,358548,25.84220634,-80.36722567,,,,,,12086009040,9040,12,86,4641,80208
57,T.J. Maxx,1380,357749,25.77152352,-80.3586794,,,,,,12086009029,9029,12,86,4322,71250
58,T.J. Maxx,417,350150,28.23810502,-80.72728213,,,,,,12009071201,71201,12,9,7360,61221
59,T.J. Maxx,155,345585,28.46601142,-81.45315319,,,,,,12095017001,17001,12,95,4719,49464
60,T.J. Maxx,322,344990,26.24607539,-80.25473906,,,,,,12011020320,20320,12,11,5151,81818
61,T.J. Maxx,197,342542,26.62472624,-81.94223871,,,,,,12071010303,10303,12,71,6241,65223
62,T.J. Maxx,745,339013,27.78777098,-82.72691369,,,,,,12103022501,22501,12,103,5705,60203
63,T.J. Maxx,291,337427,25.64533932,-80.33584156,,,,,,12086008409,8409,12,86,5394,113929
64,T.J. Maxx,598,335570,30.19218922,-81.74298135,,,,,,12031013524,13524,12,31,4038,49250
65,T.J. Maxx,289,335513,27.99824863,-82.56452435,,,,,,12057011613,11613,12,57,6072,59038
66,T.J. Maxx,1132,335203,28.53867377,-81.73534444,,,,,,12069031315,31315,12,69,6051,61270
67,T.J. Maxx,841,333353,26.93601626,-80.09159423,,,,,,12099000301,301,12,99,3477,151771
68,T.J. Maxx,1332,333314,27.93010714,-82.7891115,,,,,,12103025602,25602,12,103,3083,49541
69,T.J. Maxx,392,330921,26.53119923,-80.08904205,,,,,,12099006012,6012,12,99,5179,60997
70,T.J. Maxx,1105,330474,29.47775566,-81.2153126,,,,,,12035060213,60213,12,35,7100,52792
71,T.J. Maxx,1438,320118,26.00974618,-80.35720031,,,,,,12011110333,110333,12,11,6909,106057
72,T.J. Maxx,138,318362,27.6385425,-80.38230785,,,,,,12061050401,50401,12,61,3574,43953
73,T.J. Maxx,1408,317349,28.81919966,-81.67658074,,,,,,12069030915,30915,12,69,8896,73352
74,T.J. Maxx,70,309767,26.8431894,-80.07067753,,,,,,12099000703,703,12,99,3510,125645
75,T.J. Maxx,1025,308812,28.93295269,-81.93829386,,,,,,12069030408,30408,12,69,3369,65545
76,T.J. Maxx,1364,302075,26.44302204,-80.07223489,,,,,,12099006502,6502,12,99,4216,81667
77,T.J. Maxx,283,299426,28.6278281,-81.31945704,,,,,,12117022201,22201,12,117,5189,83901
78,T.J. Maxx,1486,296551,28.23348648,-82.73085927,,,,,,12101030304,30304,12,101,4813,55597
79,T.J. Maxx,1123,280372,28.51589552,-81.37907899,,,,,,12095018500,18500,12,95,3386,59461
80,T.J. Maxx,1506,276207,28.34613124,-81.482625,,,,,,12097040904,40904,12,97,5166,56902
81,T.J. Maxx,1194,271995,28.26414526,-82.18649301,,,,,,12101032804,32804,12,101,2663,51442
82,T.J. Maxx,1530,264589,28.65683065,-81.42086953,,,,,,12117021707,21707,12,117,6671,76930
83,T.J. Maxx,1499,264054,28.39139541,-81.24781724,,,,,,12095016802,16802,12,95,14513,111896
84,T.J. Maxx,1535,239397,26.60843087,-81.81345361,,,,,,12071001209,1209,12,71,2649,63707
85,T.J. Maxx,1373,182806,30.26072448,-81.6244509,,,,,,12031016606,16606,12,31,4329,42591
86,T.J. Maxx,1340,179403,26.09717542,-80.12949882,,,,,,12011042302,42302,12,11,1237,120222
87,T.J. Maxx,791,134530,27.43332377,-82.57887006,,,,,,12081000312,312,12,81,1791,71154
88,T.J. Maxx,1377,112783,25.88796775,-80.16249003,,,,,,12086001204,1204,12,86,5581,63313
1,Marshalls,425,819819,26.6834479,-80.22362638,,,,,,12099007812,7812,12,99,5318,74527
2,Marshalls,1077,754601,29.11130473,-81.03616413,,,,,,12127083207,83207,12,127,8489,86296
3,Marshalls,1062,702859,27.63733172,-80.44914495,,,,,,12061050704,50704,12,61,3246,113354
