Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_malls,tot_stores
20,Marshalls,FL,28.93027812,-82.01828307,466065,"28.93027812,-82.01828307",0,0.0
21,Marshalls,FL,26.96015233,-80.08295057,458671,"26.96015233,-80.08295057",1,19.0
22,Marshalls,FL,30.22129622,-85.8701446,454293,"30.22129622,-85.8701446",1,44.0
23,Marshalls,FL,27.79620131,-82.33245096,453903,"27.79620131,-82.33245096",0,0.0
24,Marshalls,FL,27.39169372,-82.45327833,436709,"27.39169372,-82.45327833",3,202.0
25,Marshalls,FL,28.17546464,-82.35555788,435297,"28.17546464,-82.35555788",4,160.0
26,Marshalls,FL,27.49891405,-81.485903,429195,"27.49891405,-81.485903",1,17.0
27,Marshalls,FL,30.44015803,-84.25826912,427271,"30.44015803,-84.25826912",2,42.0
28,Marshalls,FL,25.80987875,-80.19355365,424338,"25.80987875,-80.19355365",2,96.0
29,Marshalls,FL,26.48581527,-81.78940397,423864,"26.48581527,-81.78940397",0,0.0
30,Marshalls,FL,28.05040396,-82.69797409,417388,"28.05040396,-82.69797409",3,67.0
31,Marshalls,FL,26.21278703,-80.10717035,415341,"26.21278703,-80.10717035",3,83.0
32,Marshalls,FL,25.48042614,-80.46169303,414816,"25.48042614,-80.46169303",2,33.0
33,Marshalls,FL,30.38944671,-86.43912186,406771,"30.38944671,-86.43912186",2,38.0
34,Marshalls,FL,26.17261584,-81.80103344,406080,"26.17261584,-81.80103344",2,43.0
35,Marshalls,FL,27.23554687,-80.26661916,403317,"27.23554687,-80.26661916",2,42.0
36,Marshalls,FL,26.31571519,-80.15697515,396312,"26.31571519,-80.15697515",4,152.0
37,Marshalls,FL,26.84377179,-80.0737879,395690,"26.84377179,-80.0737879",3,85.0
38,Marshalls,FL,29.13878799,-82.19278881,394080,"29.13878799,-82.19278881",3,59.0
39,Marshalls,FL,26.58642025,-81.86958965,393505,"26.58642025,-81.86958965",3,54.0
40,Marshalls,FL,28.49535372,-81.43035435,392484,"28.49535372,-81.43035435",6,83.0
41,Marshalls,FL,27.01499547,-82.14422047,376088,"27.01499547,-82.14422047",0,0.0
42,Marshalls,FL,28.03888338,-80.66485967,375449,"28.03888338,-80.66485967",2,55.0
43,Marshalls,FL,26.27086874,-81.79847013,374136,"26.27086874,-81.79847013",5,187.0
44,Marshalls,FL,26.36594881,-80.1735641,367379,"26.36594881,-80.1735641",7,203.0
45,Marshalls,FL,26.04343239,-80.15896058,363170,"26.04343239,-80.15896058",2,94.0
46,Marshalls,FL,26.52946565,-80.09281893,360793,"26.52946565,-80.09281893",5,143.0
47,Marshalls,FL,30.48249025,-81.6407356,360382,"30.48249025,-81.6407356",2,28.0
48,Marshalls,FL,26.28817959,-80.24929148,358726,"26.28817959,-80.24929148",2,46.0
49,Marshalls,FL,28.67530247,-81.4710751,358512,"28.67530247,-81.4710751",2,20.0
50,Marshalls,FL,28.39222915,-81.48445473,356655,"28.39222915,-81.48445473",2,270.0
51,Marshalls,FL,28.22398965,-81.64276718,356560,"28.22398965,-81.64276718",1,32.0
52,Marshalls,FL,27.26052384,-82.51795607,350911,"27.26052384,-82.51795607",2,44.0
53,Marshalls,FL,30.17570908,-81.62667292,341760,"30.17570908,-81.62667292",3,44.0
54,Marshalls,FL,28.47550606,-81.28715209,339297,"28.47550606,-81.28715209",3,68.0
55,Marshalls,FL,25.62066372,-80.34234868,335509,"25.62066372,-80.34234868",3,53.0
56,Marshalls,FL,28.55145091,-80.84290999,335028,"28.55145091,-80.84290999",2,32.0
