PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL
159_1340003,159,Lafayette - Lake Charles,16,Lake Charles,Calcasieu Parish,"Ridge at Lake Charles Redevelopment, The",,5140 Weaver Road,Lake Charles,LA,70605,30.163612,-93.259209,3374756331,96,117184,8.5,,C+,Under Construction,,10/15/20 0:00,,12/31/21 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=159&PropertyID=1340003
159_1340005,159,Lafayette - Lake Charles,16,Lake Charles,Calcasieu Parish,"Ridge at Lake Charles Phase II, The",,5140 Weaver Road,Lake Charles,LA,70605,30.16349,-93.261159,3374756331,72,0,5.26,,C+,Planned,6/10/21 0:00,,,,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=159&PropertyID=1340005
159_1356966,159,Lafayette - Lake Charles,16,Lake Charles,Calcasieu Parish,Country Club Cottages,,5121 Bayview Pkwy,Lake Charles,LA,70605,30.163877,-93.269248,3372261367,94,0,12,,C+,Completed,,11/1/19 0:00,7/7/20 0:00,11/30/21 0:00,FALSE,,N,N,N,N,,,TRUE,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=159&PropertyID=1356966
159_1392128,159,Lafayette - Lake Charles,16,Lake Charles,Calcasieu Parish,Golden Arms Renovation,,1481 3rd Street,Lake Charles,LA,70601,30.22436,-93.19961,,74,0,,,C-,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=159&PropertyID=1392128
159_1392135,159,Lafayette - Lake Charles,16,Lake Charles,Calcasieu Parish,Le Jolliet Phase II,,4101 5th Avenue,Lake Charles,LA,70607,30.18619,-93.187401,,72,0,,,C,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=159&PropertyID=1392135
159_1392138,159,Lafayette - Lake Charles,16,Lake Charles,Calcasieu Parish,Le Fleur,,600 Petro Point Drive,Lake Charles,LA,70607,30.164633,-93.212053,,88,0,,,B-,Prospective,,,,,,,,,,,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=159&PropertyID=1392138
159_362718,159,Lafayette - Lake Charles,7,Acadia Parish,Acadia Parish,Meadows,,100 Kathy Meadows Lane,Crowley,LA,70526,30.215317,-92.391431,3377838523,72,65000,5.55,C+,C-,Completed,,,,1/1/63 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=159&PropertyID=362718
159_362724,159,Lafayette - Lake Charles,19,Vernon Parish,Vernon Parish,Green Ridge,,411 Eissman Road,Leesville,LA,71446,31.081416,-93.2637279,3374232715,84,90660,7.93,C+,C,Completed,,,,1/1/78 0:00,FALSE,,N,N,N,N,,,,100,707,matrix.pi-ei.com/PropertyDetail/All?MarketID=159&PropertyID=362724
159_362726,159,Lafayette - Lake Charles,8,St. Landry Parish,St. Landry Parish,Dupre Place,,1220 Dean Drive,Opelousas,LA,70570,30.547983,-92.093522,3375948089,76,79000,26.08,B-,C-,Completed,,,,1/1/02 0:00,FALSE,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=159&PropertyID=362726
159_362736,159,Lafayette - Lake Charles,1,Lafayette - North,Lafayette Parish,La Bonne Vie,,1300 East Pont Des Mouton Road,Lafayette,LA,70507,30.271466,-91.994383,3372329006,96,93600,4.03,C+,C+,Completed,,,,1/1/82 0:00,FALSE,,N,N,N,N,,,,100,670,matrix.pi-ei.com/PropertyDetail/All?MarketID=159&PropertyID=362736
