Unnamed: 0,Brand,Store.Number,Street.Address,City,State.Province,Postcode,Longitude,Latitude
495,Starbucks,76448-97114,7150 US 19 N,Pinellas Park,FL,337814602,-82.68,27.84
496,Starbucks,11254-103276,2701 Thonotosassa Rd.,Plant City,FL,335631456,-82.15,28.03
497,Starbucks,3429-93432,"1891 North Pine Island Road, Plantation Towne Square",Plantation,FL,333225204,-80.27,26.15
498,Starbucks,8368-15653,"6981 W Broward Blvd, Ste 3A, Broward",Plantation,FL,333172917,-80.24,26.12
499,Starbucks,8226-996,"827 Nob Hill Road, Pompano Plaza",Plantation,FL,333241038,-80.29,26.13
500,Starbucks,8476-57419,423 S. Federal Highway,Pompano Beach,FL,330625901,-80.1,26.23
501,Starbucks,8417-30215,1800 N. Federal Highway,Pompano Beach,FL,330621034,-80.1,26.25
502,Starbucks,8509-177984,"2 Fairfield Boulevard, #12",Ponte Vedra,FL,320824621,-81.38,30.19
503,Starbucks,75728-95019,"1000 Pga Tour Blvd, Port Charlotte",Ponte Vedra Beach,FL,320823036,-81.39,30.2
504,Starbucks,11408-105411,"1441 Tamiami TRL, 635",Port Charlotte,FL,339481098,-82.15,27.01
505,Starbucks,76152-89122,1400A Tamiami Trail,Port Charlotte,FL,339481004,-82.14,27.01
506,Starbucks,14313-114584,925 Kings Hwy,Port Charlotte,FL,339804248,-82.05,27.02
507,Starbucks,76108-79280,1771 Dunlawton Ave,Port Orange,FL,321274757,-81.03,29.11
508,Starbucks,17382-171724,1731 Dunlawton Ave #101,Port Orange,FL,32127,-81.03,29.11
509,Starbucks,11409-105351,"9409 US Highway 19, 207",Port Richey,FL,34668,-82.71,28.29
510,Starbucks,2912-91465,1789 NW St. Lucie West Blvd,Port St. Lucie,FL,349862501,-80.41,27.31
511,Starbucks,76791-106134,10720 SW Village Parkway,Port St. Lucie,FL,349872188,-80.43,27.27
512,Starbucks,13829-108665,10716 Big Bend Rd,Riverview,FL,33569,-82.33,27.79
513,Starbucks,76772-108135,"10290 Bloomingdale Ave, Winthrop Town Centre",Riverview,FL,335783659,-82.33,27.9
514,Starbucks,10235-112366,"6042 Winthrop Town Centre Ave., Space 326",Riverview,FL,335784212,-82.32,27.89
515,Starbucks,24221-227666,3715 S US Highway 301,Riverview,FL,33578,-82.35,27.91
516,Starbucks,11907-106878,"3820 Murrell Road, Village of Royal Palm",Rockledge,FL,329554741,-80.72,28.29
517,Starbucks,8431-37760,561 N. State Rd. (US 441),Royal Palm Beach,FL,334113524,-80.2,26.69
518,Starbucks,11255-100617,"11081 Southern Blvd., Bay 100, The Shoppes at Harbour Pointe",Royal Palm Beach,FL,334114251,-80.22,26.68
519,Starbucks,10729-102032,"100 Main St, Anastasia Plaza",Safety Harbor,FL,346953657,-82.69,27.99
520,Starbucks,8484-54459,"1047 A1A Beach Blvd., Suite #18",Saint Augustine,FL,32080,-81.27,29.83
