"","Brand","Store.Number","Street.Address","City","State.Province","Postcode","Longitude","Latitude"
"142","Starbucks","8414-18705","424 Church Street, Suite 110","Nashville","TN","372192342",-86.78,36.16
"143","Starbucks","75791-95462","315 4th Ave N, Opry Mills","Nashville","TN","372191601",-86.78,36.17
"144","Starbucks","17625-183305","433 Opry Mills Drive","Nashville","TN","37214",-86.69,36.2
"145","Starbucks","27319-247087","3500 John A. Merritt Blvd, Belle Meade Plaza Shopping Center","Nashville","TN","37209",-86.83,36.17
"146","Starbucks","8403-23061","4514 Harding Pike","Nashville","TN","372052102",-86.85,36.12
"147","Starbucks","78012-107811","611 Commerce St","Nashville","TN","372033742",-86.78,36.16
"148","Starbucks","70337-125287","One Terminal Drive, Suite 325","Nashville","TN","372144110",-86.67,36.13
"149","Starbucks","8317-5888","3706 Hillsboro Pike","Nashville","TN","372152149",-86.81,36.11
"150","Starbucks","5163-145369","1 Terminal Dr","Nashville","TN","372144110",-86.67,36.14
"151","Starbucks","29007-105504","210 Franklin Road, The Mall at Green Hills","Nashville","TN","370273218",-86.79,36.03
"152","Starbucks","8415-100159","2153 Green Hills Village Drive, Nipper's Corner","Nashville","TN","372152601",-86.82,36.11
"153","Starbucks","8370-13012","5533 Edmonson Pike","Nashville","TN","372115808",-86.75,36.04
"154","Starbucks","78049-125290","1 Terminal Dr","Nashville","TN","372144112",-86.67,36.14
"155","Starbucks","8356-5891","2521 West End Ave.","Nashville","TN","372031423",-86.81,36.15
"156","Starbucks","8525-66554","7083 Highway 70 S.","Nashville","TN","372212207",-86.92,36.07
"157","Starbucks","9779-95183","2308 Murfreesboro Pike","Nashville","TN","372173315",-86.65,36.09
"158","Starbucks","79223-94846","2131 Abbott Martin Rd","Nashville","TN","372152699",-86.82,36.11
"159","Starbucks","9781-97558","3005 West End Ave","Nashville","TN","372031317",-86.81,36.14
"160","Starbucks","76738-106115","3814 Charlotte Pike","Nashville","TN","372093737",-86.89,36.13
"161","Starbucks","11204-103554","515 Dominican Drive","Nashville","TN","372281924",-86.8,36.19
"162","Starbucks","8883-93790","1305 Oakridge Turnpike","Oak Ridge","TN","378306408",-84.26,36.01
"163","Starbucks","21885-212185","62 Ivanhoe Rd & Raleigh Rd","Oakridge","TN","37830",-84.26,36.01
"164","Starbucks","73873-102993","220 Wears Valley Road","Pigeon Forge","TN","378634215",-83.58,35.8
"165","Starbucks","13505-106987","2491 HIGHWAY 441","Pigeon Forge","TN","37863",-83.58,35.81
"166","Starbucks","17932-186985","430 E Emory Rd","Powell","TN","37849",-84,36.05
"167","Starbucks","11656-105033","401 East Emory Road","Powell","TN","378493518",-84,36.05
"168","Starbucks","48896-215025","I75 and Emory Rd","Powell","TN","37849",-84.06,36.05
"169","Starbucks","8555-65602","1645 Parkway, Unit 103","Sevierville","TN","378622899",-83.57,35.83
"170","Starbucks","9926-98924","646 Winfield Dunn Parkway","Sevierville","TN","378765510",-83.57,35.88
"171","Starbucks","76875-121296","803 Industrial Blvd","Smyrna","TN","371676865",-86.56,35.98
"172","Starbucks","8929-95186","620 Sam Ridley Pkwy West","Smyrna","TN","371675622",-86.56,35.98
"173","Starbucks","76876-121297","1033 Crossing Blvd","Spring Hill","TN","371742776",-86.94,35.74
"174","Starbucks","13987-114864","4839 MAIN STREET","SPRING HILL","TN","371742725",-86.91,35.78
"175","Starbucks","3055-142044","4726 Traders Way","Thompsons Station","TN","371795366",-86.91,35.78
